# Energy(eV)  Intensity(a.u.) — digitized from Muller EELS, delta=0
522.65  735.4
522.73  727.2
522.80  712.8
522.87  692.0
522.95  663.2
523.10  631.0
523.17  606.5
523.25  596.1
523.32  598.4
523.40  608.1
523.47  619.3
523.54  627.0
523.62  627.2
523.69  617.0
523.77  596.3
523.84  569.6
523.92  545.3
523.99  532.1
524.06  533.4
524.14  547.6
524.21  571.5
524.29  606.4
524.36  655.9
524.51  714.3
524.58  761.6
524.66  777.4
524.73  755.7
524.81  704.7
524.88  635.6
524.96  555.4
525.33  473.3
525.40  400.2
525.48  338.3
525.55  284.1
525.63  240.9
525.70  217.8
525.77  217.3
525.85  228.4
525.92  233.6
526.00  224.3
526.07  207.4
526.15  198.0
526.22  206.2
526.29  231.4
526.37  266.2
526.44  304.0
526.52  343.8
526.59  391.2
526.67  451.2
526.74  518.6
526.82  580.7
526.89  631.5
526.96  675.8
527.04  723.5
527.11  782.5
527.19  855.7
527.26  941.0
527.34  1036.1
527.41  1143.7
527.48  1273.0
527.56  1436.1
527.63  1642.7
527.71  1894.8
527.78  2186.2
527.86  2507.1
527.93  2849.7
528.01  3206.5
528.08  3566.4
528.15  3916.1
528.23  4248.8
528.30  4566.3
528.38  4875.8
528.45  5176.8
528.53  5458.6
528.60  5717.6
528.67  5955.7
528.75  6165.4
528.82  6334.8
528.90  6455.9
528.97  6524.5
529.05  6535.9
529.12  6479.0
529.19  6346.7
529.34  6155.7
529.42  5936.4
529.49  5700.2
529.57  5440.4
529.64  5155.5
529.72  4858.0
529.79  4567.3
529.86  4299.6
529.94  4061.9
530.01  3854.7
530.09  3676.5
530.16  3525.5
530.24  3399.3
530.31  3296.1
530.38  3215.7
530.46  3158.7
530.53  3124.4
530.61  3111.3
530.68  3117.3
530.76  3140.8
530.83  3180.4
530.90  3235.4
530.98  3306.1
531.05  3393.3
531.13  3495.4
531.20  3605.9
531.28  3717.0
531.35  3825.2
531.43  3931.9
531.50  4040.0
531.57  4149.5
531.65  4253.8
531.72  4338.2
531.80  4387.4
531.87  4400.2
531.95  4394.4
532.02  4394.1
532.09  4414.5
532.17  4461.0
532.24  4535.3
532.32  4639.8
532.39  4775.9
532.47  4945.0
532.54  5143.3
532.69  5352.6
532.76  5550.5
532.84  5737.3
532.91  5930.1
532.99  6136.6
533.06  6349.0
533.14  6554.0
533.21  6740.5
533.28  6905.5
533.36  7057.8
533.43  7212.4
533.51  7377.9
533.58  7549.8
533.66  7719.6
533.73  7882.7
533.80  8035.3
533.88  8169.6
533.95  8276.1
534.03  8349.0
534.10  8387.8
534.18  8397.6
534.25  8388.1
534.32  8370.7
534.40  8353.2
534.47  8335.2
534.55  8307.8
534.62  8261.3
534.70  8193.2
534.77  8109.0
534.85  8018.5
534.92  7936.2
534.99  7878.8
535.07  7851.9
535.14  7843.1
535.22  7832.4
535.29  7808.2
535.37  7771.8
535.44  7728.8
535.51  7681.3
535.59  7626.7
535.66  7560.5
535.74  7481.2
535.81  7391.7
535.89  7296.4
535.96  7197.2
536.03  7092.0
536.11  6974.3
536.18  6836.6
536.26  6676.9
536.33  6501.6
536.41  6320.5
536.48  6140.8
536.56  5965.5
536.63  5796.0
536.70  5629.5
536.78  5458.6
536.85  5276.6
536.93  5082.4
537.00  4881.5
537.08  4689.6
537.15  4528.7
537.22  4406.5
537.30  4307.4
537.37  4210.6
537.45  4107.3
537.52  4001.2
537.60  3897.6
537.67  3798.2
537.74  3704.2
537.82  3619.0
537.89  3547.6
537.97  3494.3
538.04  3460.9
538.12  3445.3
538.19  3442.8
538.27  3447.6
538.34  3455.8
538.41  3467.1
538.49  3484.5
538.56  3511.1
538.64  3547.2
538.71  3589.2
538.79  3632.8
538.86  3676.9
538.93  3725.0
539.01  3782.4
539.08  3851.3
539.16  3928.4
539.23  4008.2
539.31  4089.5
539.38  4178.9
539.45  4284.9
539.53  4411.5
539.60  4554.6
539.68  4703.9
539.75  4852.0
539.83  5005.9
539.90  5183.4
539.98  5388.1
540.05  5599.7
540.12  5800.7
540.20  5993.8
540.27  6189.0
540.35  6389.8
540.42  6595.5
540.50  6805.4
540.57  7015.3
540.64  7216.9
540.72  7401.7
540.79  7565.6
540.87  7708.4
540.94  7831.7
541.02  7938.1
541.09  8029.9
541.16  8108.1
541.24  8174.8
541.31  8237.0
541.39  8304.9
541.46  8383.9
541.54  8467.4
541.61  8538.1
541.69  8576.3
541.76  8570.7
541.83  8524.8
541.91  8452.4
541.98  8369.6
542.06  8287.7
542.13  8209.7
542.21  8126.1
542.28  8005.8
542.35  7793.1
542.43  7459.2
542.50  7083.1
542.58  6806.7
542.65  6677.3
542.73  6615.2
542.80  6532.8
542.87  6415.9
542.95  6301.9
543.02  6218.4
543.10  6152.5
543.17  6072.3
543.25  5967.9
543.32  5864.3
543.40  5789.8
543.47  5748.9
543.54  5726.2
543.62  5704.5
543.69  5668.0
543.77  5600.6
543.84  5485.4
543.92  5296.0
543.99  5000.0
544.06  4627.1
544.14  4325.4
544.21  4249.4
544.29  4383.5
544.36  4577.0
544.44  4718.3
544.51  4784.5
544.58  4778.8
544.66  4687.0
544.73  4479.4
544.81  4178.8
544.88  3917.7
544.96  3836.1
545.03  3927.0
545.11  4053.5
545.18  4078.2
545.25  3963.3
545.33  3806.4
545.40  3775.8
545.48  3959.0
545.55  4289.6
545.63  4641.0
545.70  4933.5
545.77  5143.3
546.07  5281.6
546.15  5372.6
546.22  5439.0
546.29  5501.7
546.37  5571.0
546.59  5622.4
546.67  5594.6
546.74  5449.1
546.82  5239.1
546.89  5062.0
546.96  4933.3
547.04  4801.3
547.11  4698.2
547.19  4761.2
547.26  5025.7
547.34  5297.5
547.41  5379.3
547.48  5311.9
547.56  5250.9
547.63  5259.9
547.71  5316.2
547.78  5391.8
547.86  5481.3
547.93  5573.7
548.00  5576.4
548.08  5349.4
548.15  4938.3
548.23  4615.7
548.30  4546.7
548.38  4618.1
548.45  4659.8
548.53  4674.9
548.60  4837.9
548.67  5274.8
548.75  5857.2
548.82  6321.1
548.90  6549.8
548.97  6610.4
549.05  6599.9
549.12  6566.8
549.19  6524.2
549.27  6473.6
549.34  6416.9
549.42  6362.7
549.49  6324.5
549.57  6312.1
549.64  6323.7
549.71  6345.7
549.79  6358.3
549.86  6340.6
549.94  6281.5
550.01  6191.2
550.09  6095.6
550.16  6018.7
550.24  5966.9
550.31  5930.6
550.38  5898.1
550.46  5867.8
550.53  5845.0
550.61  5832.7
550.68  5827.5
550.76  5824.0
550.83  5816.6
550.90  5797.0
550.98  5750.4
551.05  5668.4
551.42  5569.7
551.50  5489.8
551.57  5442.8
551.65  5417.5
551.72  5404.2
551.80  5399.0
552.02  5390.5
552.09  5363.2
552.24  5319.5
552.32  5280.6
552.39  5260.2
552.47  5255.8
552.54  5260.0
552.61  5267.2
552.69  5271.6
552.76  5267.9
552.84  5254.7
552.91  5236.9
552.99  5222.1
553.06  5218.8
553.14  5234.0
553.21  5270.9
553.28  5322.7
553.36  5370.6
553.43  5392.9
553.51  5377.1
553.58  5330.1
553.66  5275.9
553.73  5237.4
553.80  5225.0
553.88  5240.8
553.95  5283.7
554.03  5345.2
554.10  5410.7
554.18  5469.6
554.25  5518.9
554.32  5559.8
554.40  5593.0
554.47  5615.8
554.55  5620.5
554.62  5603.1
554.70  5574.4
554.77  5553.8
554.85  5547.4
