# Energy(eV)  Intensity(a.u.) — digitized from Muller EELS, delta=0
450.20  1439.3
450.53  1461.6
450.58  1472.7
450.81  1440.4
451.05  1365.9
451.10  1285.0
451.14  1233.8
451.19  1223.0
451.24  1244.0
451.47  1286.8
451.52  1348.7
452.18  1421.2
452.42  1476.1
452.60  1486.3
452.65  1455.8
452.70  1418.7
452.75  1405.5
452.79  1417.5
452.84  1434.8
452.89  1441.6
452.93  1438.6
452.98  1435.7
453.03  1438.7
453.08  1444.2
453.12  1447.7
453.17  1456.2
453.22  1485.6
453.26  1548.2
453.31  1638.8
453.36  1730.6
453.41  1794.5
453.45  1826.5
453.50  1850.6
453.55  1901.1
453.69  2002.9
453.74  2158.3
453.97  2344.0
454.02  2522.6
454.54  2663.6
454.59  2756.7
454.63  2815.0
454.68  2861.6
454.73  2908.6
454.77  2955.7
454.82  3002.7
454.87  3053.2
454.92  3111.7
454.96  3183.2
455.01  3274.4
455.06  3393.8
455.10  3548.3
455.15  3734.2
455.20  3937.7
455.25  4147.0
455.29  4355.6
455.34  4561.6
455.39  4772.0
455.43  5001.0
455.48  5258.8
455.53  5546.7
455.58  5858.3
455.62  6185.4
455.67  6522.4
455.72  6869.4
455.76  7227.2
455.81  7595.5
455.86  7977.8
455.91  8384.0
455.95  8823.4
456.00  9297.7
456.05  9800.9
456.09  10326.3
456.14  10873.9
456.19  11446.5
456.24  12038.9
456.28  12641.0
456.33  13257.4
456.38  13900.9
456.42  14566.3
456.47  15239.4
456.52  15909.1
456.57  16555.4
456.61  17155.8
456.66  17681.0
456.71  18094.1
456.76  18396.6
456.80  18625.2
456.85  18795.5
456.90  18889.5
456.94  18888.9
456.99  18802.1
457.04  18657.2
457.09  18470.6
457.13  18233.4
457.18  17927.3
457.23  17545.4
457.27  17095.3
457.32  16588.2
457.37  16031.8
457.42  15439.8
457.46  14841.1
457.51  14267.7
457.56  13738.9
457.60  13263.4
457.65  12847.8
457.70  12496.6
457.75  12210.9
457.79  11991.2
457.84  11840.7
457.89  11768.0
457.93  11783.1
457.98  11889.2
458.03  12078.6
458.08  12340.4
458.12  12669.7
458.17  13070.7
458.22  13547.4
458.26  14097.4
458.31  14718.9
458.36  15417.5
458.41  16198.1
458.45  17057.5
458.50  17988.1
458.55  18986.3
458.59  20047.2
458.64  21146.3
458.69  22238.9
458.74  23298.7
458.78  24335.6
458.83  25348.1
458.88  26305.2
458.92  27197.6
458.97  28047.2
459.02  28853.8
459.07  29576.5
459.11  30177.8
459.16  30657.0
459.21  31032.6
459.25  31315.8
459.30  31497.8
459.35  31551.3
459.40  31452.3
459.44  31202.2
459.49  30818.0
459.54  30310.9
459.58  29687.3
459.63  28962.6
459.68  28164.3
459.73  27320.5
459.77  26446.0
459.82  25544.5
459.87  24622.4
459.92  23696.9
459.96  22786.3
460.01  21899.7
460.06  21039.9
460.10  20212.1
460.15  19427.8
460.20  18702.2
460.25  18045.6
460.29  17455.1
460.34  16919.4
460.39  16427.0
460.43  15984.5
460.48  15627.0
460.53  15378.5
460.58  15214.7
460.67  15096.5
460.72  15017.4
460.76  14993.8
460.81  15034.1
460.86  15123.7
460.91  15227.1
460.95  15294.5
461.00  15298.7
461.05  15285.8
461.09  15343.0
461.14  15499.6
461.19  15718.6
461.24  15968.4
461.28  16255.2
461.33  16599.6
461.38  17004.2
461.42  17441.6
461.47  17873.4
461.52  18271.6
461.57  18607.1
461.61  18862.5
461.66  19061.4
461.71  19214.4
461.75  19320.4
461.80  19453.7
461.85  19687.9
461.90  20025.6
461.94  20488.7
461.99  21033.2
462.04  21481.2
462.08  21754.9
462.13  21902.6
462.18  21796.2
462.23  21061.6
462.27  19387.2
462.32  16975.0
462.37  14731.2
462.41  13756.2
462.46  14543.2
