# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
  -10.00000000    0.00044326
   -9.94994995    0.00044547
   -9.89989990    0.00044770
   -9.84984985    0.00044994
   -9.79979980    0.00045221
   -9.74974975    0.00045449
   -9.69969970    0.00045680
   -9.64964965    0.00045912
   -9.59959960    0.00046147
   -9.54954955    0.00046384
   -9.49949950    0.00046623
   -9.44944945    0.00046864
   -9.39939940    0.00047107
   -9.34934935    0.00047352
   -9.29929930    0.00047600
   -9.24924925    0.00047849
   -9.19919920    0.00048101
   -9.14914915    0.00048356
   -9.09909910    0.00048613
   -9.04904905    0.00048872
   -8.99899900    0.00049133
   -8.94894895    0.00049397
   -8.89889890    0.00049664
   -8.84884885    0.00049933
   -8.79879880    0.00050204
   -8.74874875    0.00050478
   -8.69869870    0.00050755
   -8.64864865    0.00051034
   -8.59859860    0.00051316
   -8.54854855    0.00051601
   -8.49849850    0.00051888
   -8.44844845    0.00052179
   -8.39839840    0.00052472
   -8.34834835    0.00052768
   -8.29829830    0.00053067
   -8.24824825    0.00053369
   -8.19819820    0.00053674
   -8.14814815    0.00053982
   -8.09809810    0.00054293
   -8.04804805    0.00054607
   -7.99799800    0.00054924
   -7.94794795    0.00055245
   -7.89789790    0.00055569
   -7.84784785    0.00055896
   -7.79779780    0.00056227
   -7.74774775    0.00056561
   -7.69769770    0.00056898
   -7.64764765    0.00057239
   -7.59759760    0.00057584
   -7.54754755    0.00057932
   -7.49749750    0.00058284
   -7.44744745    0.00058640
   -7.39739740    0.00059000
   -7.34734735    0.00059363
   -7.29729730    0.00059731
   -7.24724725    0.00060102
   -7.19719720    0.00060477
   -7.14714715    0.00060857
   -7.09709710    0.00061241
   -7.04704705    0.00061629
   -6.99699700    0.00062021
   -6.94694695    0.00062418
   -6.89689690    0.00062819
   -6.84684685    0.00063225
   -6.79679680    0.00063636
   -6.74674675    0.00064051
   -6.69669670    0.00064471
   -6.64664665    0.00064895
   -6.59659660    0.00065325
   -6.54654655    0.00065760
   -6.49649650    0.00066200
   -6.44644645    0.00066645
   -6.39639640    0.00067095
   -6.34634635    0.00067551
   -6.29629630    0.00068012
   -6.24624625    0.00068479
   -6.19619620    0.00068951
   -6.14614615    0.00069430
   -6.09609610    0.00069914
   -6.04604605    0.00070404
   -5.99599600    0.00070900
   -5.94594595    0.00071402
   -5.89589590    0.00071911
   -5.84584585    0.00072426
   -5.79579580    0.00072948
   -5.74574575    0.00073476
   -5.69569570    0.00074011
   -5.64564565    0.00074553
   -5.59559560    0.00075102
   -5.54554555    0.00075658
   -5.49549550    0.00076222
   -5.44544545    0.00076793
   -5.39539540    0.00077372
   -5.34534535    0.00077958
   -5.29529530    0.00078552
   -5.24524525    0.00079155
   -5.19519520    0.00079765
   -5.14514515    0.00080384
   -5.09509510    0.00081012
   -5.04504505    0.00081648
   -4.99499499    0.00082293
   -4.94494494    0.00082947
   -4.89489489    0.00083611
   -4.84484484    0.00084284
   -4.79479479    0.00084966
   -4.74474474    0.00085659
   -4.69469469    0.00086361
   -4.64464464    0.00087074
   -4.59459459    0.00087797
   -4.54454454    0.00088532
   -4.49449449    0.00089277
   -4.44444444    0.00090033
   -4.39439439    0.00090801
   -4.34434434    0.00091580
   -4.29429429    0.00092372
   -4.24424424    0.00093175
   -4.19419419    0.00093991
   -4.14414414    0.00094820
   -4.09409409    0.00095662
   -4.04404404    0.00096518
   -3.99399399    0.00097387
   -3.94394394    0.00098270
   -3.89389389    0.00099168
   -3.84384384    0.00100080
   -3.79379379    0.00101008
   -3.74374374    0.00101950
   -3.69369369    0.00102909
   -3.64364364    0.00103884
   -3.59359359    0.00104875
   -3.54354354    0.00105883
   -3.49349349    0.00106909
   -3.44344344    0.00107953
   -3.39339339    0.00109015
   -3.34334334    0.00110095
   -3.29329329    0.00111195
   -3.24324324    0.00112315
   -3.19319319    0.00113455
   -3.14314314    0.00114616
   -3.09309309    0.00115798
   -3.04304304    0.00117003
   -2.99299299    0.00118230
   -2.94294294    0.00119480
   -2.89289289    0.00120753
   -2.84284284    0.00122052
   -2.79279279    0.00123375
   -2.74274274    0.00124725
   -2.69269269    0.00126101
   -2.64264264    0.00127504
   -2.59259259    0.00128936
   -2.54254254    0.00130396
   -2.49249249    0.00131887
   -2.44244244    0.00133408
   -2.39239239    0.00134961
   -2.34234234    0.00136547
   -2.29229229    0.00138166
   -2.24224224    0.00139821
   -2.19219219    0.00141510
   -2.14214214    0.00143237
   -2.09209209    0.00145002
   -2.04204204    0.00146806
   -1.99199199    0.00148651
   -1.94194194    0.00150538
   -1.89189189    0.00152468
   -1.84184184    0.00154443
   -1.79179179    0.00156465
   -1.74174174    0.00158534
   -1.69169169    0.00160653
   -1.64164164    0.00162823
   -1.59159159    0.00165046
   -1.54154154    0.00167324
   -1.49149149    0.00169659
   -1.44144144    0.00172054
   -1.39139139    0.00174509
   -1.34134134    0.00177028
   -1.29129129    0.00179613
   -1.24124124    0.00182266
   -1.19119119    0.00184990
   -1.14114114    0.00187788
   -1.09109109    0.00190663
   -1.04104104    0.00193618
   -0.99099099    0.00196655
   -0.94094094    0.00199779
   -0.89089089    0.00202993
   -0.84084084    0.00206300
   -0.79079079    0.00209705
   -0.74074074    0.00213212
   -0.69069069    0.00216825
   -0.64064064    0.00220549
   -0.59059059    0.00224388
   -0.54054054    0.00228349
   -0.49049049    0.00232435
   -0.44044044    0.00236654
   -0.39039039    0.00241010
   -0.34034034    0.00245511
   -0.29029029    0.00250164
   -0.24024024    0.00254975
   -0.19019019    0.00259953
   -0.14014014    0.00265106
   -0.09009009    0.00270425
   -0.04004004    0.00275887
    0.01001001    0.00281598
    0.06006006    0.00287579
    0.11011011    0.00293824
    0.16016016    0.00300234
    0.21021021    0.00306895
    0.26026026    0.00313822
    0.31031031    0.00321028
    0.36036036    0.00328532
    0.41041041    0.00336350
    0.46046046    0.00344500
    0.51051051    0.00353004
    0.56056056    0.00361883
    0.61061061    0.00371160
    0.66066066    0.00380861
    0.71071071    0.00391013
    0.76076076    0.00401645
    0.81081081    0.00412790
    0.86086086    0.00424480
    0.91091091    0.00436755
    0.96096096    0.00449653
    1.01101101    0.00463219
    1.06106106    0.00477501
    1.11111111    0.00492548
    1.16116116    0.00508418
    1.21121121    0.00525169
    1.26126126    0.00542869
    1.31131131    0.00561586
    1.36136136    0.00581399
    1.41141141    0.00602389
    1.46146146    0.00624645
    1.51151151    0.00648262
    1.56156156    0.00673341
    1.61161161    0.00699992
    1.66166166    0.00728327
    1.71171171    0.00758466
    1.76176176    0.00790531
    1.81181181    0.00824645
    1.86186186    0.00860933
    1.91191191    0.00899512
    1.96196196    0.00940491
    2.01201201    0.00983962
    2.06206206    0.01029993
    2.11211211    0.01078622
    2.16216216    0.01129843
    2.21221221    0.01183598
    2.26226226    0.01239770
    2.31231231    0.01298174
    2.36236236    0.01358558
    2.41241241    0.01420609
    2.46246246    0.01483969
    2.51251251    0.01548262
    2.56256256    0.01613128
    2.61261261    0.01678274
    2.66266266    0.01743517
    2.71271271    0.01808829
    2.76276276    0.01874369
    2.81281281    0.01940493
    2.86286286    0.02007746
    2.91291291    0.02076822
    2.96296296    0.02148517
    3.01301301    0.02223657
    3.06306306    0.02303023
    3.11311311    0.02387280
    3.16316316    0.02476900
    3.21321321    0.02572098
    3.26326326    0.02672768
    3.31331331    0.02778425
    3.36336336    0.02888168
    3.41341341    0.03000638
    3.46346346    0.03114018
    3.51351351    0.03226056
    3.56356356    0.03334131
    3.61361361    0.03435370
    3.66366366    0.03526817
    3.71371371    0.03605633
    3.76376376    0.03669319
    3.81381381    0.03715913
    3.86386386    0.03744144
    3.91391391    0.03753503
    3.96396396    0.03744228
    4.01401401    0.03717202
    4.06406406    0.03673801
    4.11411411    0.03615713
    4.16416416    0.03544781
    4.21421421    0.03462872
    4.26426426    0.03371800
    4.31431431    0.03273299
    4.36436436    0.03169015
    4.41441441    0.03060524
    4.46446446    0.02949336
    4.51451451    0.02836900
    4.56456456    0.02724588
    4.61461461    0.02613665
    4.66466466    0.02505268
    4.71471471    0.02400370
    4.76476476    0.02299771
    4.81481481    0.02204089
    4.86486486    0.02113761
    4.91491491    0.02029061
    4.96496496    0.01950120
    5.01501502    0.01876949
    5.06506507    0.01809466
    5.11511512    0.01747520
    5.16516517    0.01690915
    5.21521522    0.01639429
    5.26526527    0.01592830
    5.31531532    0.01550890
    5.36536537    0.01513394
    5.41541542    0.01480143
    5.46546547    0.01450956
    5.51551552    0.01425671
    5.56556557    0.01404141
    5.61561562    0.01386231
    5.66566567    0.01371814
    5.71571572    0.01360769
    5.76576577    0.01352977
    5.81581582    0.01348319
    5.86586587    0.01346674
    5.91591592    0.01347918
    5.96596597    0.01351925
    6.01601602    0.01358566
    6.06606607    0.01367713
    6.11611612    0.01379245
    6.16616617    0.01393050
    6.21621622    0.01409043
    6.26626627    0.01427170
    6.31631632    0.01447421
    6.36636637    0.01469843
    6.41641642    0.01494538
    6.46646647    0.01521671
    6.51651652    0.01551457
    6.56656657    0.01584151
    6.61661662    0.01620032
    6.66666667    0.01659382
    6.71671672    0.01702468
    6.76676677    0.01749520
    6.81681682    0.01800711
    6.86686687    0.01856138
    6.91691692    0.01915806
    6.96696697    0.01979601
    7.01701702    0.02047280
    7.06706707    0.02118449
    7.11711712    0.02192551
    7.16716717    0.02268867
    7.21721722    0.02346516
    7.26726727    0.02424482
    7.31731732    0.02501656
    7.36736737    0.02576893
    7.41741742    0.02649092
    7.46746747    0.02717281
    7.51751752    0.02780702
    7.56756757    0.02838884
    7.61761762    0.02891684
    7.66766767    0.02939299
    7.71771772    0.02982233
    7.76776777    0.03021238
    7.81781782    0.03057231
    7.86786787    0.03091201
    7.91791792    0.03124122
    7.96796797    0.03156883
    8.01801802    0.03190237
    8.06806807    0.03224775
    8.11811812    0.03260916
    8.16816817    0.03298914
    8.21821822    0.03338873
    8.26826827    0.03380768
    8.31831832    0.03424472
    8.36836837    0.03469775
    8.41841842    0.03516401
    8.46846847    0.03564020
    8.51851852    0.03612241
    8.56856857    0.03660607
    8.61861862    0.03708577
    8.66866867    0.03755517
    8.71871872    0.03800704
    8.76876877    0.03843341
    8.81881882    0.03882598
    8.86886887    0.03917658
    8.91891892    0.03947774
    8.96896897    0.03972319
    9.01901902    0.03990822
    9.06906907    0.04002990
    9.11911912    0.04008713
    9.16916917    0.04008052
    9.21921922    0.04001219
    9.26926927    0.03988552
    9.31931932    0.03970489
    9.36936937    0.03947540
    9.41941942    0.03920269
    9.46946947    0.03889273
    9.51951952    0.03855166
    9.56956957    0.03818570
    9.61961962    0.03780102
    9.66966967    0.03740367
    9.71971972    0.03699938
    9.76976977    0.03659330
    9.81981982    0.03618968
    9.86986987    0.03579151
    9.91991992    0.03540032
    9.96996997    0.03501601
   10.02002002    0.03463710
   10.07007007    0.03426115
   10.12012012    0.03388546
   10.17017017    0.03350788
   10.22022022    0.03312759
   10.27027027    0.03274564
   10.32032032    0.03236517
   10.37037037    0.03199121
   10.42042042    0.03163007
   10.47047047    0.03128852
   10.52052052    0.03097281
   10.57057057    0.03068763
   10.62062062    0.03043535
   10.67067067    0.03021531
   10.72072072    0.03002353
   10.77077077    0.02985260
   10.82082082    0.02969200
   10.87087087    0.02952869
   10.92092092    0.02934805
   10.97097097    0.02913509
   11.02102102    0.02887583
   11.07107107    0.02855870
   11.12112112    0.02817569
   11.17117117    0.02772329
   11.22122122    0.02720274
   11.27127127    0.02661981
   11.32132132    0.02598413
   11.37137137    0.02530809
   11.42142142    0.02460562
   11.47147147    0.02389102
   11.52152152    0.02317798
   11.57157157    0.02247887
   11.62162162    0.02180429
   11.67167167    0.02116294
   11.72172172    0.02056159
   11.77177177    0.02000533
   11.82182182    0.01949772
   11.87187187    0.01904114
   11.92192192    0.01863700
   11.97197197    0.01828604
   12.02202202    0.01798853
   12.07207207    0.01774442
   12.12212212    0.01755353
   12.17217217    0.01741564
   12.22222222    0.01733060
   12.27227227    0.01729835
   12.32232232    0.01731900
   12.37237237    0.01739283
   12.42242242    0.01752030
   12.47247247    0.01770201
   12.52252252    0.01793871
   12.57257257    0.01823120
   12.62262262    0.01858024
   12.67267267    0.01898647
   12.72272272    0.01945023
   12.77277277    0.01997137
   12.82282282    0.02054902
   12.87287287    0.02118129
   12.92292292    0.02186497
   12.97297297    0.02259518
   13.02302302    0.02336503
   13.07307307    0.02416533
   13.12312312    0.02498435
   13.17317317    0.02580784
   13.22322322    0.02661913
   13.27327327    0.02739965
   13.32332332    0.02812967
   13.37337337    0.02878931
   13.42342342    0.02935980
   13.47347347    0.02982479
   13.52352352    0.03017161
   13.57357357    0.03039229
   13.62362362    0.03048423
   13.67367367    0.03045046
   13.72372372    0.03029937
   13.77377377    0.03004408
   13.82382382    0.02970143
   13.87387387    0.02929076
   13.92392392    0.02883256
   13.97397397    0.02834723
   14.02402402    0.02785394
   14.07407407    0.02736974
   14.12412412    0.02690892
   14.17417417    0.02648264
   14.22422422    0.02609871
   14.27427427    0.02576164
   14.32432432    0.02547276
   14.37437437    0.02523047
   14.42442442    0.02503064
   14.47447447    0.02486704
   14.52452452    0.02473204
   14.57457457    0.02461727
   14.62462462    0.02451448
   14.67467467    0.02441639
   14.72472472    0.02431748
   14.77477477    0.02421458
   14.82482482    0.02410719
   14.87487487    0.02399750
   14.92492492    0.02389000
   14.97497497    0.02379095
   15.02502503    0.02370761
   15.07507508    0.02364748
   15.12512513    0.02361759
   15.17517518    0.02362398
   15.22522523    0.02367129
   15.27527528    0.02376255
   15.32532533    0.02389916
   15.37537538    0.02408091
   15.42542543    0.02430621
   15.47547548    0.02457225
   15.52552553    0.02487529
   15.57557558    0.02521087
   15.62562563    0.02557400
   15.67567568    0.02595930
   15.72572573    0.02636112
   15.77577578    0.02677363
   15.82582583    0.02719099
   15.87587588    0.02760749
   15.92592593    0.02801778
   15.97597598    0.02841710
   16.02602603    0.02880144
   16.07607608    0.02916760
   16.12612613    0.02951300
   16.17617618    0.02983534
   16.22622623    0.03013209
   16.27627628    0.03039982
   16.32632633    0.03063366
   16.37637638    0.03082688
   16.42642643    0.03097087
   16.47647648    0.03105542
   16.52652653    0.03106945
   16.57657658    0.03100202
   16.62662663    0.03084354
   16.67667668    0.03058692
   16.72672673    0.03022860
   16.77677678    0.02976917
   16.82682683    0.02921359
   16.87687688    0.02857101
   16.92692693    0.02785406
   16.97697698    0.02707797
   17.02702703    0.02625936
   17.07707708    0.02541520
   17.12712713    0.02456171
   17.17717718    0.02371361
   17.22722723    0.02288353
   17.27727728    0.02208174
   17.32732733    0.02131607
   17.37737738    0.02059199
   17.42742743    0.01991279
   17.47747748    0.01927985
   17.52752753    0.01869293
   17.57757758    0.01815041
   17.62762763    0.01764965
   17.67767768    0.01718720
   17.72772773    0.01675918
   17.77777778    0.01636151
   17.82782783    0.01599023
   17.87787788    0.01564177
   17.92792793    0.01531314
   17.97797798    0.01500206
   18.02802803    0.01470709
   18.07807808    0.01442752
   18.12812813    0.01416329
   18.17817818    0.01391487
   18.22822823    0.01368306
   18.27827828    0.01346886
   18.32832833    0.01327335
   18.37837838    0.01309759
   18.42842843    0.01294262
   18.47847848    0.01280940
   18.52852853    0.01269879
   18.57857858    0.01261158
   18.62862863    0.01254841
   18.67867868    0.01250981
   18.72872873    0.01249608
   18.77877878    0.01250734
   18.82882883    0.01254343
   18.87887888    0.01260387
   18.92892893    0.01268784
   18.97897898    0.01279413
   19.02902903    0.01292110
   19.07907908    0.01306669
   19.12912913    0.01322841
   19.17917918    0.01340337
   19.22922923    0.01358838
   19.27927928    0.01378003
   19.32932933    0.01397484
   19.37937938    0.01416941
   19.42942943    0.01436067
   19.47947948    0.01454599
   19.52952953    0.01472345
   19.57957958    0.01489193
   19.62962963    0.01505129
   19.67967968    0.01520238
   19.72972973    0.01534706
   19.77977978    0.01548813
   19.82982983    0.01562915
   19.87987988    0.01577425
   19.92992993    0.01592790
   19.97997998    0.01609462
   20.03003003    0.01627872
   20.08008008    0.01648411
   20.13013013    0.01671403
   20.18018018    0.01697100
   20.23023023    0.01725668
   20.28028028    0.01757182
   20.33033033    0.01791630
   20.38038038    0.01828911
   20.43043043    0.01868841
   20.48048048    0.01911155
   20.53053053    0.01955513
   20.58058058    0.02001509
   20.63063063    0.02048681
   20.68068068    0.02096522
   20.73073073    0.02144508
   20.78078078    0.02192111
   20.83083083    0.02238834
   20.88088088    0.02284221
   20.93093093    0.02327887
   20.98098098    0.02369514
   21.03103103    0.02408867
   21.08108108    0.02445785
   21.13113113    0.02480181
   21.18118118    0.02512050
   21.23123123    0.02541462
   21.28128128    0.02568578
   21.33133133    0.02593647
   21.38138138    0.02617009
   21.43143143    0.02639077
   21.48148148    0.02660324
   21.53153153    0.02681247
   21.58158158    0.02702335
   21.63163163    0.02724042
   21.68168168    0.02746758
   21.73173173    0.02770800
   21.78178178    0.02796401
   21.83183183    0.02823712
   21.88188188    0.02852805
   21.93193193    0.02883666
   21.98198198    0.02916187
   22.03203203    0.02950142
   22.08208208    0.02985174
   22.13213213    0.03020774
   22.18218218    0.03056292
   22.23223223    0.03090955
   22.28228228    0.03123915
   22.33233233    0.03154320
   22.38238238    0.03181382
   22.43243243    0.03204446
   22.48248248    0.03223040
   22.53253253    0.03236894
   22.58258258    0.03245931
   22.63263263    0.03250240
   22.68268268    0.03250028
   22.73273273    0.03245580
   22.78278278    0.03237220
   22.83283283    0.03225281
   22.88288288    0.03210084
   22.93293293    0.03191920
   22.98298298    0.03171032
   23.03303303    0.03147598
   23.08308308    0.03121721
   23.13313313    0.03093431
   23.18318318    0.03062702
   23.23323323    0.03029492
   23.28328328    0.02993784
   23.33333333    0.02955642
   23.38338338    0.02915255
   23.43343343    0.02872965
   23.48348348    0.02829268
   23.53353353    0.02784796
   23.58358358    0.02740265
   23.63363363    0.02696424
   23.68368368    0.02653980
   23.73373373    0.02613548
   23.78378378    0.02575593
   23.83383383    0.02540400
   23.88388388    0.02508058
   23.93393393    0.02478462
   23.98398398    0.02451330
   24.03403403    0.02426236
   24.08408408    0.02402656
   24.13413413    0.02380023
   24.18418418    0.02357779
   24.23423423    0.02335434
   24.28428428    0.02312611
   24.33433433    0.02289079
   24.38438438    0.02264765
   24.43443443    0.02239755
   24.48448448    0.02214272
   24.53453453    0.02188637
   24.58458458    0.02163234
   24.63463463    0.02138462
   24.68468468    0.02114696
   24.73473473    0.02092253
   24.78478478    0.02071370
   24.83483483    0.02052196
   24.88488488    0.02034795
   24.93493493    0.02019156
   24.98498498    0.02005218
   25.03503504    0.01992889
   25.08508509    0.01982071
   25.13513514    0.01972668
   25.18518519    0.01964595
   25.23523524    0.01957764
   25.28528529    0.01952070
   25.33533534    0.01947364
   25.38538539    0.01943428
   25.43543544    0.01939956
   25.48548549    0.01936550
   25.53553554    0.01932720
   25.58558559    0.01927917
   25.63563564    0.01921564
   25.68568569    0.01913106
   25.73573574    0.01902060
   25.78578579    0.01888056
   25.83583584    0.01870870
   25.88588589    0.01850437
   25.93593594    0.01826854
   25.98598599    0.01800359
   26.03603604    0.01771313
   26.08608609    0.01740165
   26.13613614    0.01707431
   26.18618619    0.01673657
   26.23623624    0.01639407
   26.28628629    0.01605235
   26.33633634    0.01571675
   26.38638639    0.01539229
   26.43643644    0.01508356
   26.48648649    0.01479467
   26.53653654    0.01452921
   26.58658659    0.01429017
   26.63663664    0.01407995
   26.68668669    0.01390035
   26.73673674    0.01375256
   26.78678679    0.01363714
   26.83683684    0.01355408
   26.88688689    0.01350273
   26.93693694    0.01348190
   26.98698699    0.01348981
   27.03703704    0.01352413
   27.08708709    0.01358202
   27.13713714    0.01366016
   27.18718719    0.01375482
   27.23723724    0.01386191
   27.28728729    0.01397706
   27.33733734    0.01409568
   27.38738739    0.01421305
   27.43743744    0.01432444
   27.48748749    0.01442528
   27.53753754    0.01451136
   27.58758759    0.01457905
   27.63763764    0.01462564
   27.68768769    0.01464950
   27.73773774    0.01465031
   27.78778779    0.01462910
   27.83783784    0.01458815
   27.88788789    0.01453085
   27.93793794    0.01446137
   27.98798799    0.01438429
   28.03803804    0.01430428
   28.08808809    0.01422568
   28.13813814    0.01415227
   28.18818819    0.01408704
   28.23823824    0.01403205
   28.28828829    0.01398843
   28.33833834    0.01395647
   28.38838839    0.01393576
   28.43843844    0.01392541
   28.48848849    0.01392429
