# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
  -10.00000000    0.00036882
   -9.94994995    0.00037063
   -9.89989990    0.00037245
   -9.84984985    0.00037429
   -9.79979980    0.00037615
   -9.74974975    0.00037802
   -9.69969970    0.00037991
   -9.64964965    0.00038181
   -9.59959960    0.00038373
   -9.54954955    0.00038567
   -9.49949950    0.00038763
   -9.44944945    0.00038961
   -9.39939940    0.00039160
   -9.34934935    0.00039362
   -9.29929930    0.00039565
   -9.24924925    0.00039770
   -9.19919920    0.00039977
   -9.14914915    0.00040186
   -9.09909910    0.00040397
   -9.04904905    0.00040610
   -8.99899900    0.00040825
   -8.94894895    0.00041042
   -8.89889890    0.00041261
   -8.84884885    0.00041483
   -8.79879880    0.00041706
   -8.74874875    0.00041932
   -8.69869870    0.00042160
   -8.64864865    0.00042390
   -8.59859860    0.00042622
   -8.54854855    0.00042857
   -8.49849850    0.00043094
   -8.44844845    0.00043334
   -8.39839840    0.00043576
   -8.34834835    0.00043821
   -8.29829830    0.00044068
   -8.24824825    0.00044317
   -8.19819820    0.00044569
   -8.14814815    0.00044824
   -8.09809810    0.00045082
   -8.04804805    0.00045342
   -7.99799800    0.00045605
   -7.94794795    0.00045870
   -7.89789790    0.00046139
   -7.84784785    0.00046411
   -7.79779780    0.00046685
   -7.74774775    0.00046962
   -7.69769770    0.00047243
   -7.64764765    0.00047526
   -7.59759760    0.00047813
   -7.54754755    0.00048103
   -7.49749750    0.00048396
   -7.44744745    0.00048692
   -7.39739740    0.00048992
   -7.34734735    0.00049295
   -7.29729730    0.00049602
   -7.24724725    0.00049912
   -7.19719720    0.00050225
   -7.14714715    0.00050543
   -7.09709710    0.00050864
   -7.04704705    0.00051189
   -6.99699700    0.00051517
   -6.94694695    0.00051850
   -6.89689690    0.00052186
   -6.84684685    0.00052527
   -6.79679680    0.00052872
   -6.74674675    0.00053220
   -6.69669670    0.00053574
   -6.64664665    0.00053931
   -6.59659660    0.00054293
   -6.54654655    0.00054660
   -6.49649650    0.00055031
   -6.44644645    0.00055407
   -6.39639640    0.00055787
   -6.34634635    0.00056173
   -6.29629630    0.00056563
   -6.24624625    0.00056958
   -6.19619620    0.00057359
   -6.14614615    0.00057765
   -6.09609610    0.00058176
   -6.04604605    0.00058593
   -5.99599600    0.00059015
   -5.94594595    0.00059443
   -5.89589590    0.00059877
   -5.84584585    0.00060316
   -5.79579580    0.00060762
   -5.74574575    0.00061214
   -5.69569570    0.00061672
   -5.64564565    0.00062136
   -5.59559560    0.00062608
   -5.54554555    0.00063085
   -5.49549550    0.00063570
   -5.44544545    0.00064062
   -5.39539540    0.00064560
   -5.34534535    0.00065067
   -5.29529530    0.00065580
   -5.24524525    0.00066101
   -5.19519520    0.00066630
   -5.14514515    0.00067167
   -5.09509510    0.00067712
   -5.04504505    0.00068266
   -4.99499499    0.00068827
   -4.94494494    0.00069398
   -4.89489489    0.00069978
   -4.84484484    0.00070566
   -4.79479479    0.00071164
   -4.74474474    0.00071772
   -4.69469469    0.00072389
   -4.64464464    0.00073017
   -4.59459459    0.00073654
   -4.54454454    0.00074302
   -4.49449449    0.00074961
   -4.44444444    0.00075631
   -4.39439439    0.00076313
   -4.34434434    0.00077006
   -4.29429429    0.00077711
   -4.24424424    0.00078428
   -4.19419419    0.00079158
   -4.14414414    0.00079900
   -4.09409409    0.00080656
   -4.04404404    0.00081425
   -3.99399399    0.00082208
   -3.94394394    0.00083006
   -3.89389389    0.00083818
   -3.84384384    0.00084646
   -3.79379379    0.00085488
   -3.74374374    0.00086347
   -3.69369369    0.00087222
   -3.64364364    0.00088115
   -3.59359359    0.00089024
   -3.54354354    0.00089951
   -3.49349349    0.00090897
   -3.44344344    0.00091861
   -3.39339339    0.00092846
   -3.34334334    0.00093850
   -3.29329329    0.00094875
   -3.24324324    0.00095921
   -3.19319319    0.00096989
   -3.14314314    0.00098080
   -3.09309309    0.00099194
   -3.04304304    0.00100332
   -2.99299299    0.00101495
   -2.94294294    0.00102684
   -2.89289289    0.00103900
   -2.84284284    0.00105143
   -2.79279279    0.00106414
   -2.74274274    0.00107714
   -2.69269269    0.00109045
   -2.64264264    0.00110408
   -2.59259259    0.00111802
   -2.54254254    0.00113231
   -2.49249249    0.00114694
   -2.44244244    0.00116193
   -2.39239239    0.00117729
   -2.34234234    0.00119304
   -2.29229229    0.00120920
   -2.24224224    0.00122577
   -2.19219219    0.00124277
   -2.14214214    0.00126023
   -2.09209209    0.00127814
   -2.04204204    0.00129655
   -1.99199199    0.00131546
   -1.94194194    0.00133489
   -1.89189189    0.00135487
   -1.84184184    0.00137542
   -1.79179179    0.00139656
   -1.74174174    0.00141831
   -1.69169169    0.00144071
   -1.64164164    0.00146379
   -1.59159159    0.00148756
   -1.54154154    0.00151206
   -1.49149149    0.00153733
   -1.44144144    0.00156340
   -1.39139139    0.00159030
   -1.34134134    0.00161808
   -1.29129129    0.00164677
   -1.24124124    0.00167641
   -1.19119119    0.00170707
   -1.14114114    0.00173878
   -1.09109109    0.00177160
   -1.04104104    0.00180558
   -0.99099099    0.00184078
   -0.94094094    0.00187727
   -0.89089089    0.00191511
   -0.84084084    0.00195437
   -0.79079079    0.00199514
   -0.74074074    0.00203749
   -0.69069069    0.00208151
   -0.64064064    0.00212729
   -0.59059059    0.00217494
   -0.54054054    0.00222457
   -0.49049049    0.00227628
   -0.44044044    0.00233020
   -0.39039039    0.00238647
   -0.34034034    0.00244523
   -0.29029029    0.00250663
   -0.24024024    0.00257084
   -0.19019019    0.00263805
   -0.14014014    0.00270843
   -0.09009009    0.00278188
   -0.04004004    0.00285798
    0.01001001    0.00293879
    0.06006006    0.00302483
    0.11011011    0.00311610
    0.16016016    0.00321065
    0.21021021    0.00331029
    0.26026026    0.00341537
    0.31031031    0.00352631
    0.36036036    0.00364353
    0.41041041    0.00376752
    0.46046046    0.00389880
    0.51051051    0.00403792
    0.56056056    0.00418551
    0.61061061    0.00434224
    0.66066066    0.00450882
    0.71071071    0.00468605
    0.76076076    0.00487477
    0.81081081    0.00507592
    0.86086086    0.00529049
    0.91091091    0.00551954
    0.96096096    0.00576422
    1.01101101    0.00602574
    1.06106106    0.00630537
    1.11111111    0.00660445
    1.16116116    0.00692435
    1.21121121    0.00726646
    1.26126126    0.00763215
    1.31131131    0.00802273
    1.36136136    0.00843943
    1.41141141    0.00888329
    1.46146146    0.00935512
    1.51151151    0.00985542
    1.56156156    0.01038432
    1.61161161    0.01094147
    1.66166166    0.01152599
    1.71171171    0.01213645
    1.76176176    0.01277081
    1.81181181    0.01342641
    1.86186186    0.01409997
    1.91191191    0.01478753
    1.96196196    0.01548438
    2.01201201    0.01618487
    2.06206206    0.01688228
    2.11211211    0.01756849
    2.16216216    0.01823389
    2.21221221    0.01886723
    2.26226226    0.01945589
    2.31231231    0.01998628
    2.36236236    0.02044474
    2.41241241    0.02081864
    2.46246246    0.02109765
    2.51251251    0.02127500
    2.56256256    0.02134837
    2.61261261    0.02132034
    2.66266266    0.02119821
    2.71271271    0.02099325
    2.76276276    0.02071948
    2.81281281    0.02039225
    2.86286286    0.02002679
    2.91291291    0.01963697
    2.96296296    0.01923432
    3.01301301    0.01882752
    3.06306306    0.01842214
    3.11311311    0.01802078
    3.16316316    0.01762343
    3.21321321    0.01722804
    3.26326326    0.01683128
    3.31331331    0.01642927
    3.36336336    0.01601832
    3.41341341    0.01559566
    3.46346346    0.01515985
    3.51351351    0.01471104
    3.56356356    0.01425101
    3.61361361    0.01378289
    3.66366366    0.01331087
    3.71371371    0.01283968
    3.76376376    0.01237418
    3.81381381    0.01191897
    3.86386386    0.01147813
    3.91391391    0.01105503
    3.96396396    0.01065225
    4.01401401    0.01027166
    4.06406406    0.00991441
    4.11411411    0.00958109
    4.16416416    0.00927181
    4.21421421    0.00898631
    4.26426426    0.00872408
    4.31431431    0.00848439
    4.36436436    0.00826640
    4.41441441    0.00806920
    4.46446446    0.00789185
    4.51451451    0.00773338
    4.56456456    0.00759286
    4.61461461    0.00746939
    4.66466466    0.00736215
    4.71471471    0.00727037
    4.76476476    0.00719335
    4.81481481    0.00713053
    4.86486486    0.00708139
    4.91491491    0.00704554
    4.96496496    0.00702270
    5.01501502    0.00701268
    5.06506507    0.00701536
    5.11511512    0.00703076
    5.16516517    0.00705896
    5.21521522    0.00710010
    5.26526527    0.00715443
    5.31531532    0.00722225
    5.36536537    0.00730392
    5.41541542    0.00739987
    5.46546547    0.00751057
    5.51551552    0.00763655
    5.56556557    0.00777838
    5.61561562    0.00793669
    5.66566567    0.00811212
    5.71571572    0.00830534
    5.76576577    0.00851705
    5.81581582    0.00874791
    5.86586587    0.00899858
    5.91591592    0.00926968
    5.96596597    0.00956173
    6.01601602    0.00987518
    6.06606607    0.01021033
    6.11611612    0.01056735
    6.16616617    0.01094627
    6.21621622    0.01134696
    6.26626627    0.01176917
    6.31631632    0.01221254
    6.36636637    0.01267670
    6.41641642    0.01316122
    6.46646647    0.01366567
    6.51651652    0.01418953
    6.56656657    0.01473214
    6.61661662    0.01529242
    6.66666667    0.01586868
    6.71671672    0.01645835
    6.76676677    0.01705770
    6.81681682    0.01766172
    6.86686687    0.01826409
    6.91691692    0.01885741
    6.96696697    0.01943360
    7.01701702    0.01998458
    7.06706707    0.02050300
    7.11711712    0.02098317
    7.16716717    0.02142170
    7.21721722    0.02181803
    7.26726727    0.02217458
    7.31731732    0.02249651
    7.36736737    0.02279116
    7.41741742    0.02306733
    7.46746747    0.02333437
    7.51751752    0.02360143
    7.56756757    0.02387674
    7.61761762    0.02416719
    7.66766767    0.02447798
    7.71771772    0.02481253
    7.76776777    0.02517254
    7.81781782    0.02555824
    7.86786787    0.02596866
    7.91791792    0.02640217
    7.96796797    0.02685690
    8.01801802    0.02733121
    8.06806807    0.02782403
    8.11811812    0.02833489
    8.16816817    0.02886382
    8.21821822    0.02941084
    8.26826827    0.02997532
    8.31831832    0.03055518
    8.36836837    0.03114622
    8.41841842    0.03174148
    8.46846847    0.03233099
    8.51851852    0.03290183
    8.56856857    0.03343861
    8.61861862    0.03392430
    8.66866867    0.03434138
    8.71871872    0.03467318
    8.76876877    0.03490521
    8.81881882    0.03502636
    8.86886887    0.03502985
    8.91891892    0.03491373
    8.96896897    0.03468107
    9.01901902    0.03433960
    9.06906907    0.03390113
    9.11911912    0.03338052
    9.16916917    0.03279456
    9.21921922    0.03216078
    9.26926927    0.03149624
    9.31931932    0.03081651
    9.36936937    0.03013492
    9.41941942    0.02946197
    9.46946947    0.02880513
    9.51951952    0.02816885
    9.56956957    0.02755481
    9.61961962    0.02696244
    9.66966967    0.02638952
    9.71971972    0.02583289
    9.76976977    0.02528917
    9.81981982    0.02475538
    9.86986987    0.02422945
    9.91991992    0.02371052
    9.96996997    0.02319904
   10.02002002    0.02269668
   10.07007007    0.02220618
   10.12012012    0.02173099
   10.17017017    0.02127491
   10.22022022    0.02084170
   10.27027027    0.02043467
   10.32032032    0.02005636
   10.37037037    0.01970824
   10.42042042    0.01939054
   10.47047047    0.01910218
   10.52052052    0.01884077
   10.57057057    0.01860283
   10.62062062    0.01838398
   10.67067067    0.01817928
   10.72072072    0.01798363
   10.77077077    0.01779206
   10.82082082    0.01760011
   10.87087087    0.01740400
   10.92092092    0.01720077
   10.97097097    0.01698841
   11.02102102    0.01676580
   11.07107107    0.01653273
   11.12112112    0.01628994
   11.17117117    0.01603903
   11.22122122    0.01578249
   11.27127127    0.01552357
   11.32132132    0.01526615
   11.37137137    0.01501454
   11.42142142    0.01477325
   11.47147147    0.01454676
   11.52152152    0.01433932
   11.57157157    0.01415482
   11.62162162    0.01399669
   11.67167167    0.01386788
   11.72172172    0.01377088
   11.77177177    0.01370777
   11.82182182    0.01368032
   11.87187187    0.01369003
   11.92192192    0.01373823
   11.97197197    0.01382615
   12.02202202    0.01395497
   12.07207207    0.01412581
   12.12212212    0.01433982
   12.17217217    0.01459812
   12.22222222    0.01490176
   12.27227227    0.01525170
   12.32232232    0.01564867
   12.37237237    0.01609309
   12.42242242    0.01658484
   12.47247247    0.01712310
   12.52252252    0.01770608
   12.57257257    0.01833073
   12.62262262    0.01899245
   12.67267267    0.01968479
   12.72272272    0.02039919
   12.77277277    0.02112488
   12.82282282    0.02184886
   12.87287287    0.02255624
   12.92292292    0.02323076
   12.97297297    0.02385565
   13.02302302    0.02441478
   13.07307307    0.02489390
   13.12312312    0.02528185
   13.17317317    0.02557153
   13.22322322    0.02576051
   13.27327327    0.02585103
   13.32332332    0.02584958
   13.37337337    0.02576609
   13.42342342    0.02561280
   13.47347347    0.02540329
   13.52352352    0.02515141
   13.57357357    0.02487060
   13.62362362    0.02457322
   13.67367367    0.02427022
   13.72372372    0.02397076
   13.77377377    0.02368207
   13.82382382    0.02340929
   13.87387387    0.02315549
   13.92392392    0.02292175
   13.97397397    0.02270745
   14.02402402    0.02251071
   14.07407407    0.02232890
   14.12412412    0.02215926
   14.17417417    0.02199960
   14.22422422    0.02184876
   14.27427427    0.02170704
   14.32432432    0.02157628
   14.37437437    0.02145980
   14.42442442    0.02136205
   14.47447447    0.02128813
   14.52452452    0.02124331
   14.57457457    0.02123250
   14.62462462    0.02125984
   14.67467467    0.02132846
   14.72472472    0.02144026
   14.77477477    0.02159595
   14.82482482    0.02179517
   14.87487487    0.02203661
   14.92492492    0.02231838
   14.97497497    0.02263823
   15.02502503    0.02299387
   15.07507508    0.02338320
   15.12512513    0.02380439
   15.17517518    0.02425589
   15.22522523    0.02473624
   15.27527528    0.02524378
   15.32532533    0.02577617
   15.37537538    0.02632996
   15.42542543    0.02690007
   15.47547548    0.02747944
   15.52552553    0.02805876
   15.57557558    0.02862645
   15.62562563    0.02916893
   15.67567568    0.02967112
   15.72572573    0.03011715
   15.77577578    0.03049138
   15.82582583    0.03077937
   15.87587588    0.03096893
   15.92592593    0.03105094
   15.97597598    0.03101993
   16.02602603    0.03087437
   16.07607608    0.03061654
   16.12612613    0.03025222
   16.17617618    0.02979009
   16.22622623    0.02924103
   16.27627628    0.02861734
   16.32632633    0.02793204
   16.37637638    0.02719816
   16.42642643    0.02642820
   16.47647648    0.02563377
   16.52652653    0.02482538
   16.57657658    0.02401231
   16.62662663    0.02320270
   16.67667668    0.02240362
   16.72672673    0.02162118
   16.77677678    0.02086068
   16.82682683    0.02012664
   16.87687688    0.01942290
   16.92692693    0.01875260
   16.97697698    0.01811820
   17.02702703    0.01752141
   17.07707708    0.01696324
   17.12712713    0.01644393
   17.17717718    0.01596300
   17.22722723    0.01551926
   17.27727728    0.01511086
   17.32732733    0.01473539
   17.37737738    0.01438993
   17.42742743    0.01407120
   17.47747748    0.01377567
   17.52752753    0.01349977
   17.57757758    0.01323998
   17.62762763    0.01299311
   17.67767768    0.01275637
   17.72772773    0.01252762
   17.77777778    0.01230538
   17.82782783    0.01208891
