# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
  -10.00000000    0.00041479
   -9.94994995    0.00041684
   -9.89989990    0.00041892
   -9.84984985    0.00042101
   -9.79979980    0.00042312
   -9.74974975    0.00042524
   -9.69969970    0.00042739
   -9.64964965    0.00042956
   -9.59959960    0.00043174
   -9.54954955    0.00043395
   -9.49949950    0.00043618
   -9.44944945    0.00043842
   -9.39939940    0.00044069
   -9.34934935    0.00044298
   -9.29929930    0.00044529
   -9.24924925    0.00044762
   -9.19919920    0.00044997
   -9.14914915    0.00045234
   -9.09909910    0.00045474
   -9.04904905    0.00045716
   -8.99899900    0.00045960
   -8.94894895    0.00046206
   -8.89889890    0.00046455
   -8.84884885    0.00046706
   -8.79879880    0.00046960
   -8.74874875    0.00047216
   -8.69869870    0.00047475
   -8.64864865    0.00047736
   -8.59859860    0.00048000
   -8.54854855    0.00048266
   -8.49849850    0.00048535
   -8.44844845    0.00048807
   -8.39839840    0.00049081
   -8.34834835    0.00049358
   -8.29829830    0.00049638
   -8.24824825    0.00049921
   -8.19819820    0.00050207
   -8.14814815    0.00050495
   -8.09809810    0.00050787
   -8.04804805    0.00051082
   -7.99799800    0.00051379
   -7.94794795    0.00051680
   -7.89789790    0.00051984
   -7.84784785    0.00052291
   -7.79779780    0.00052602
   -7.74774775    0.00052915
   -7.69769770    0.00053233
   -7.64764765    0.00053553
   -7.59759760    0.00053877
   -7.54754755    0.00054205
   -7.49749750    0.00054536
   -7.44744745    0.00054870
   -7.39739740    0.00055209
   -7.34734735    0.00055551
   -7.29729730    0.00055897
   -7.24724725    0.00056247
   -7.19719720    0.00056601
   -7.14714715    0.00056959
   -7.09709710    0.00057321
   -7.04704705    0.00057687
   -6.99699700    0.00058057
   -6.94694695    0.00058432
   -6.89689690    0.00058811
   -6.84684685    0.00059194
   -6.79679680    0.00059582
   -6.74674675    0.00059974
   -6.69669670    0.00060372
