# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
  -10.00000000    0.00041375
   -9.94994995    0.00041578
   -9.89989990    0.00041782
   -9.84984985    0.00041989
   -9.79979980    0.00042197
   -9.74974975    0.00042407
   -9.69969970    0.00042619
   -9.64964965    0.00042832
   -9.59959960    0.00043048
   -9.54954955    0.00043265
   -9.49949950    0.00043485
   -9.44944945    0.00043706
   -9.39939940    0.00043930
   -9.34934935    0.00044155
   -9.29929930    0.00044382
   -9.24924925    0.00044612
   -9.19919920    0.00044844
   -9.14914915    0.00045077
   -9.09909910    0.00045313
   -9.04904905    0.00045552
   -8.99899900    0.00045792
   -8.94894895    0.00046034
   -8.89889890    0.00046279
   -8.84884885    0.00046527
   -8.79879880    0.00046776
   -8.74874875    0.00047028
   -8.69869870    0.00047282
   -8.64864865    0.00047539
   -8.59859860    0.00047798
   -8.54854855    0.00048060
   -8.49849850    0.00048325
   -8.44844845    0.00048591
   -8.39839840    0.00048861
   -8.34834835    0.00049133
   -8.29829830    0.00049408
   -8.24824825    0.00049686
   -8.19819820    0.00049966
   -8.14814815    0.00050249
   -8.09809810    0.00050535
   -8.04804805    0.00050825
   -7.99799800    0.00051116
   -7.94794795    0.00051411
   -7.89789790    0.00051709
   -7.84784785    0.00052011
   -7.79779780    0.00052315
   -7.74774775    0.00052622
   -7.69769770    0.00052933
   -7.64764765    0.00053247
   -7.59759760    0.00053564
   -7.54754755    0.00053885
   -7.49749750    0.00054209
   -7.44744745    0.00054536
   -7.39739740    0.00054867
   -7.34734735    0.00055202
   -7.29729730    0.00055540
   -7.24724725    0.00055882
   -7.19719720    0.00056228
   -7.14714715    0.00056578
   -7.09709710    0.00056932
   -7.04704705    0.00057289
   -6.99699700    0.00057651
   -6.94694695    0.00058016
   -6.89689690    0.00058386
   -6.84684685    0.00058760
   -6.79679680    0.00059139
   -6.74674675    0.00059522
   -6.69669670    0.00059909
   -6.64664665    0.00060301
   -6.59659660    0.00060697
   -6.54654655    0.00061098
   -6.49649650    0.00061504
   -6.44644645    0.00061915
   -6.39639640    0.00062331
   -6.34634635    0.00062751
   -6.29629630    0.00063177
   -6.24624625    0.00063608
   -6.19619620    0.00064045
   -6.14614615    0.00064486
   -6.09609610    0.00064934
   -6.04604605    0.00065387
   -5.99599600    0.00065845
   -5.94594595    0.00066310
   -5.89589590    0.00066780
   -5.84584585    0.00067256
   -5.79579580    0.00067739
   -5.74574575    0.00068228
   -5.69569570    0.00068723
   -5.64564565    0.00069225
   -5.59559560    0.00069733
   -5.54554555    0.00070248
   -5.49549550    0.00070770
   -5.44544545    0.00071299
   -5.39539540    0.00071835
   -5.34534535    0.00072379
   -5.29529530    0.00072930
   -5.24524525    0.00073489
   -5.19519520    0.00074055
   -5.14514515    0.00074630
   -5.09509510    0.00075212
   -5.04504505    0.00075803
   -4.99499499    0.00076402
   -4.94494494    0.00077010
   -4.89489489    0.00077627
   -4.84484484    0.00078252
   -4.79479479    0.00078887
   -4.74474474    0.00079532
   -4.69469469    0.00080186
   -4.64464464    0.00080849
   -4.59459459    0.00081523
   -4.54454454    0.00082207
   -4.49449449    0.00082901
   -4.44444444    0.00083607
   -4.39439439    0.00084323
   -4.34434434    0.00085050
   -4.29429429    0.00085789
   -4.24424424    0.00086540
   -4.19419419    0.00087302
   -4.14414414    0.00088077
   -4.09409409    0.00088865
   -4.04404404    0.00089665
   -3.99399399    0.00090479
   -3.94394394    0.00091306
   -3.89389389    0.00092147
   -3.84384384    0.00093003
   -3.79379379    0.00093873
   -3.74374374    0.00094758
   -3.69369369    0.00095658
   -3.64364364    0.00096574
   -3.59359359    0.00097506
   -3.54354354    0.00098455
   -3.49349349    0.00099420
   -3.44344344    0.00100403
   -3.39339339    0.00101404
   -3.34334334    0.00102424
   -3.29329329    0.00103462
   -3.24324324    0.00104520
   -3.19319319    0.00105597
   -3.14314314    0.00106696
   -3.09309309    0.00107815
   -3.04304304    0.00108956
   -2.99299299    0.00110119
   -2.94294294    0.00111305
   -2.89289289    0.00112515
   -2.84284284    0.00113750
   -2.79279279    0.00115009
   -2.74274274    0.00116294
   -2.69269269    0.00117606
   -2.64264264    0.00118945
   -2.59259259    0.00120312
   -2.54254254    0.00121709
   -2.49249249    0.00123135
   -2.44244244    0.00124593
   -2.39239239    0.00126083
   -2.34234234    0.00127605
   -2.29229229    0.00129162
   -2.24224224    0.00130755
   -2.19219219    0.00132384
   -2.14214214    0.00134050
   -2.09209209    0.00135756
   -2.04204204    0.00137502
   -1.99199199    0.00139290
   -1.94194194    0.00141121
   -1.89189189    0.00142998
   -1.84184184    0.00144921
   -1.79179179    0.00146892
   -1.74174174    0.00148913
   -1.69169169    0.00150986
   -1.64164164    0.00153113
   -1.59159159    0.00155297
   -1.54154154    0.00157538
   -1.49149149    0.00159841
   -1.44144144    0.00162206
   -1.39139139    0.00164637
   -1.34134134    0.00167136
   -1.29129129    0.00169707
   -1.24124124    0.00172351
   -1.19119119    0.00175074
   -1.14114114    0.00177877
   -1.09109109    0.00180764
   -1.04104104    0.00183739
   -0.99099099    0.00186806
   -0.94094094    0.00189969
   -0.89089089    0.00193233
   -0.84084084    0.00196602
   -0.79079079    0.00200080
   -0.74074074    0.00203672
   -0.69069069    0.00207385
   -0.64064064    0.00211222
   -0.59059059    0.00215190
   -0.54054054    0.00219293
   -0.49049049    0.00223538
   -0.44044044    0.00227930
   -0.39039039    0.00232475
   -0.34034034    0.00237179
   -0.29029029    0.00242047
   -0.24024024    0.00247085
   -0.19019019    0.00252299
   -0.14014014    0.00257697
   -0.09009009    0.00263268
   -0.04004004    0.00268985
    0.01001001    0.00274960
    0.06006006    0.00281215
    0.11011011    0.00287746
    0.16016016    0.00294450
    0.21021021    0.00301422
    0.26026026    0.00308682
    0.31031031    0.00316251
    0.36036036    0.00324152
    0.41041041    0.00332411
    0.46046046    0.00341055
    0.51051051    0.00350111
    0.56056056    0.00359610
    0.61061061    0.00369584
    0.66066066    0.00380068
    0.71071071    0.00391098
    0.76076076    0.00402714
    0.81081081    0.00414957
    0.86086086    0.00427873
    0.91091091    0.00441511
    0.96096096    0.00455925
    1.01101101    0.00471172
    1.06106106    0.00487315
    1.11111111    0.00504421
    1.16116116    0.00522562
    1.21121121    0.00541819
    1.26126126    0.00562276
    1.31131131    0.00584024
    1.36136136    0.00607161
    1.41141141    0.00631791
    1.46146146    0.00658025
    1.51151151    0.00685976
    1.56156156    0.00715765
    1.61161161    0.00747511
    1.66166166    0.00781336
    1.71171171    0.00817356
    1.76176176    0.00855679
    1.81181181    0.00896399
    1.86186186    0.00939588
    1.91191191    0.00985290
    1.96196196    0.01033508
    2.01201201    0.01084200
    2.06206206    0.01137268
    2.11211211    0.01192554
    2.16216216    0.01249839
    2.21221221    0.01308852
    2.26226226    0.01369283
    2.31231231    0.01430810
    2.36236236    0.01493136
    2.41241241    0.01556027
    2.46246246    0.01619349
    2.51251251    0.01683107
    2.56256256    0.01747460
    2.61261261    0.01812712
    2.66266266    0.01879295
    2.71271271    0.01947712
    2.76276276    0.02018477
    2.81281281    0.02092035
    2.86286286    0.02168681
    2.91291291    0.02248482
    2.96296296    0.02331198
    3.01301301    0.02416225
    3.06306306    0.02502542
    3.11311311    0.02588688
    3.16316316    0.02672773
    3.21321321    0.02752522
    3.26326326    0.02825380
    3.31331331    0.02888661
    3.36336336    0.02939747
    3.41341341    0.02976313
    3.46346346    0.02996557
    3.51351351    0.02999381
    3.56356356    0.02984513
    3.61361361    0.02952527
    3.66366366    0.02904767
    3.71371371    0.02843192
    3.76376376    0.02770165
    3.81381381    0.02688234
    3.86386386    0.02599927
    3.91391391    0.02507591
    3.96396396    0.02413290
    4.01401401    0.02318750
    4.06406406    0.02225349
    4.11411411    0.02134144
    4.16416416    0.02045913
    4.21421421    0.01961207
    4.26426426    0.01880397
    4.31431431    0.01803720
    4.36436436    0.01731317
    4.41441441    0.01663250
    4.46446446    0.01599530
    4.51451451    0.01540121
    4.56456456    0.01484958
    4.61461461    0.01433944
    4.66466466    0.01386964
    4.71471471    0.01343887
    4.76476476    0.01304571
    4.81481481    0.01268870
    4.86486486    0.01236635
    4.91491491    0.01207723
    4.96496496    0.01181994
    5.01501502    0.01159317
    5.06506507    0.01139573
    5.11511512    0.01122651
    5.16516517    0.01108455
    5.21521522    0.01096896
    5.26526527    0.01087900
    5.31531532    0.01081403
    5.36536537    0.01077350
    5.41541542    0.01075697
    5.46546547    0.01076405
    5.51551552    0.01079447
    5.56556557    0.01084797
    5.61561562    0.01092437
    5.66566567    0.01102350
    5.71571572    0.01114520
    5.76576577    0.01128929
    5.81581582    0.01145558
    5.86586587    0.01164383
    5.91591592    0.01185375
    5.96596597    0.01208500
    6.01601602    0.01233723
    6.06606607    0.01261011
    6.11611612    0.01290337
    6.16616617    0.01321691
    6.21621622    0.01355090
    6.26626627    0.01390584
    6.31631632    0.01428266
    6.36636637    0.01468278
    6.41641642    0.01510814
    6.46646647    0.01556113
    6.51651652    0.01604450
    6.56656657    0.01656123
    6.61661662    0.01711434
    6.66666667    0.01770661
    6.71671672    0.01834042
    6.76676677    0.01901739
    6.81681682    0.01973812
    6.86686687    0.02050190
    6.91691692    0.02130642
    6.96696697    0.02214745
    7.01701702    0.02301861
    7.06706707    0.02391129
    7.11711712    0.02481456
    7.16716717    0.02571548
    7.21721722    0.02659955
    7.26726727    0.02745148
    7.31731732    0.02825627
    7.36736737    0.02900041
    7.41741742    0.02967319
    7.46746747    0.03026773
    7.51751752    0.03078178
    7.56756757    0.03121794
    7.61761762    0.03158332
    7.66766767    0.03188869
    7.71771772    0.03214737
    7.76776777    0.03237381
    7.81781782    0.03258234
    7.86786787    0.03278605
    7.91791792    0.03299603
    7.96796797    0.03322086
    8.01801802    0.03346645
    8.06806807    0.03373613
    8.11811812    0.03403087
    8.16816817    0.03434960
    8.21821822    0.03468959
    8.26826827    0.03504674
    8.31831832    0.03541587
    8.36836837    0.03579095
    8.41841842    0.03616523
    8.46846847    0.03653138
    8.51851852    0.03688165
    8.56856857    0.03720802
    8.61861862    0.03750239
    8.66866867    0.03775690
    8.71871872    0.03796420
    8.76876877    0.03811776
    8.81881882    0.03821222
    8.86886887    0.03824357
    8.91891892    0.03820933
    8.96896897    0.03810861
    9.01901902    0.03794202
    9.06906907    0.03771158
    9.11911912    0.03742058
    9.16916917    0.03707338
    9.21921922    0.03667529
    9.26926927    0.03623244
    9.31931932    0.03575162
    9.36936937    0.03524014
    9.41941942    0.03470564
    9.46946947    0.03415586
    9.51951952    0.03359838
    9.56956957    0.03304024
    9.61961962    0.03248772
    9.66966967    0.03194595
    9.71971972    0.03141877
    9.76976977    0.03090858
    9.81981982    0.03041639
    9.86986987    0.02994201
    9.91991992    0.02948432
    9.96996997    0.02904174
   10.02002002    0.02861269
   10.07007007    0.02819607
   10.12012012    0.02779161
   10.17017017    0.02740014
   10.22022022    0.02702364
   10.27027027    0.02666504
   10.32032032    0.02632791
   10.37037037    0.02601599
   10.42042042    0.02573259
   10.47047047    0.02548008
   10.52052052    0.02525933
   10.57057057    0.02506930
   10.62062062    0.02490674
   10.67067067    0.02476607
   10.72072072    0.02463949
   10.77077077    0.02451723
   10.82082082    0.02438816
   10.87087087    0.02424057
   10.92092092    0.02406314
   10.97097097    0.02384600
   11.02102102    0.02358171
   11.07107107    0.02326609
   11.12112112    0.02289861
   11.17117117    0.02248239
   11.22122122    0.02202386
   11.27127127    0.02153195
   11.32132132    0.02101723
   11.37137137    0.02049094
   11.42142142    0.01996417
   11.47147147    0.01944721
   11.52152152    0.01894912
   11.57157157    0.01847754
   11.62162162    0.01803863
   11.67167167    0.01763719
   11.72172172    0.01727680
   11.77177177    0.01696003
   11.82182182    0.01668868
   11.87187187    0.01646394
   11.92192192    0.01628661
   11.97197197    0.01615720
   12.02202202    0.01607613
   12.07207207    0.01604374
   12.12212212    0.01606041
   12.17217217    0.01612661
   12.22222222    0.01624288
   12.27227227    0.01640990
   12.32232232    0.01662839
   12.37237237    0.01689913
   12.42242242    0.01722287
   12.47247247    0.01760020
   12.52252252    0.01803148
   12.57257257    0.01851660
   12.62262262    0.01905481
   12.67267267    0.01964444
   12.72272272    0.02028261
   12.77277277    0.02096491
   12.82282282    0.02168508
   12.87287287    0.02243472
   12.92292292    0.02320304
   12.97297297    0.02397687
   13.02302302    0.02474071
   13.07307307    0.02547721
   13.12312312    0.02616787
   13.17317317    0.02679399
   13.22322322    0.02733791
   13.27327327    0.02778429
   13.32332332    0.02812127
   13.37337337    0.02834139
   13.42342342    0.02844207
   13.47347347    0.02842567
   13.52352352    0.02829910
   13.57357357    0.02807308
   13.62362362    0.02776125
   13.67367367    0.02737916
   13.72372372    0.02694333
   13.77377377    0.02647041
   13.82382382    0.02597650
   13.87387387    0.02547656
   13.92392392    0.02498402
   13.97397397    0.02451048
   14.02402402    0.02406556
   14.07407407    0.02365680
   14.12412412    0.02328968
   14.17417417    0.02296768
   14.22422422    0.02269237
   14.27427427    0.02246356
   14.32432432    0.02227940
   14.37437437    0.02213663
   14.42442442    0.02203078
   14.47447447    0.02195646
   14.52452452    0.02190773
   14.57457457    0.02187848
   14.62462462    0.02186295
   14.67467467    0.02185614
   14.72472472    0.02185432
   14.77477477    0.02185525
   14.82482482    0.02185846
   14.87487487    0.02186517
   14.92492492    0.02187811
   14.97497497    0.02190120
   15.02502503    0.02193909
   15.07507508    0.02199666
   15.12512513    0.02207858
   15.17517518    0.02218883
   15.22522523    0.02233038
   15.27527528    0.02250496
   15.32532533    0.02271281
   15.37537538    0.02295271
   15.42542543    0.02322190
   15.47547548    0.02351629
   15.52552553    0.02383066
   15.57557558    0.02415895
   15.62562563    0.02449472
   15.67567568    0.02483161
   15.72572573    0.02516373
   15.77577578    0.02548608
   15.82582583    0.02579477
   15.87587588    0.02608706
   15.92592593    0.02636119
   15.97597598    0.02661599
   16.02602603    0.02685040
   16.07607608    0.02706285
   16.12612613    0.02725069
   16.17617618    0.02740982
   16.22622623    0.02753440
   16.27627628    0.02761692
   16.32632633    0.02764857
   16.37637638    0.02761991
   16.42642643    0.02752174
   16.47647648    0.02734614
   16.52652653    0.02708749
   16.57657658    0.02674334
   16.62662663    0.02631485
   16.67667668    0.02580698
   16.72672673    0.02522812
   16.77677678    0.02458946
   16.82682683    0.02390407
   16.87687688    0.02318591
   16.92692693    0.02244889
   16.97697698    0.02170611
   17.02702703    0.02096927
   17.07707708    0.02024833
   17.12712713    0.01955137
   17.17717718    0.01888460
   17.22722723    0.01825244
   17.27727728    0.01765779
   17.32732733    0.01710215
   17.37737738    0.01658592
   17.42742743    0.01610856
   17.47747748    0.01566882
   17.52752753    0.01526487
   17.57757758    0.01489448
   17.62762763    0.01455515
   17.67767768    0.01424420
   17.72772773    0.01395894
   17.77777778    0.01369675
   17.82782783    0.01345518
   17.87787788    0.01323208
   17.92792793    0.01302562
   17.97797798    0.01283442
   18.02802803    0.01265753
   18.07807808    0.01249447
   18.12812813    0.01234519
   18.17817818    0.01221002
   18.22822823    0.01208959
   18.27827828    0.01198479
   18.32832833    0.01189665
   18.37837838    0.01182629
   18.42842843    0.01177483
   18.47847848    0.01174335
   18.52852853    0.01173285
   18.57857858    0.01174419
   18.62862863    0.01177811
   18.67867868    0.01183513
   18.72872873    0.01191561
   18.77877878    0.01201963
   18.82882883    0.01214701
   18.87887888    0.01229721
   18.92892893    0.01246932
   18.97897898    0.01266198
   19.02902903    0.01287334
   19.07907908    0.01310100
   19.12912913    0.01334203
   19.17917918    0.01359301
   19.22922923    0.01385010
   19.27927928    0.01410927
   19.32932933    0.01436643
   19.37937938    0.01461783
   19.42942943    0.01486030
   19.47947948    0.01509162
   19.52952953    0.01531071
   19.57957958    0.01551784
   19.62962963    0.01571466
   19.67967968    0.01590408
   19.72972973    0.01609004
   19.77977978    0.01627727
   19.82982983    0.01647088
   19.87987988    0.01667606
   19.92992993    0.01689776
   19.97997998    0.01714042
   20.03003003    0.01740777
   20.08008008    0.01770270
   20.13013013    0.01802714
   20.18018018    0.01838201
   20.23023023    0.01876720
   20.28028028    0.01918156
   20.33033033    0.01962292
   20.38038038    0.02008813
   20.43043043    0.02057320
   20.48048048    0.02107333
   20.53053053    0.02158316
   20.58058058    0.02209692
   20.63063063    0.02260862
   20.68068068    0.02311238
   20.73073073    0.02360259
   20.78078078    0.02407416
   20.83083083    0.02452275
   20.88088088    0.02494488
   20.93093093    0.02533807
   20.98098098    0.02570088
