# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00122143
   -9.94994995    0.00122729
   -9.89989990    0.00123318
   -9.84984985    0.00123913
   -9.79979980    0.00124512
   -9.74974975    0.00125115
   -9.69969970    0.00125723
   -9.64964965    0.00126336
   -9.59959960    0.00126953
   -9.54954955    0.00127576
   -9.49949950    0.00128203
   -9.44944945    0.00128835
   -9.39939940    0.00129472
   -9.34934935    0.00130114
   -9.29929930    0.00130761
   -9.24924925    0.00131413
   -9.19919920    0.00132071
   -9.14914915    0.00132733
   -9.09909910    0.00133401
   -9.04904905    0.00134074
   -8.99899900    0.00134753
   -8.94894895    0.00135437
   -8.89889890    0.00136127
   -8.84884885    0.00136822
   -8.79879880    0.00137523
   -8.74874875    0.00138230
   -8.69869870    0.00138942
   -8.64864865    0.00139660
   -8.59859860    0.00140384
   -8.54854855    0.00141114
   -8.49849850    0.00141850
   -8.44844845    0.00142593
   -8.39839840    0.00143341
   -8.34834835    0.00144096
   -8.29829830    0.00144857
   -8.24824825    0.00145624
   -8.19819820    0.00146398
   -8.14814815    0.00147179
   -8.09809810    0.00147966
   -8.04804805    0.00148760
   -7.99799800    0.00149560
   -7.94794795    0.00150368
   -7.89789790    0.00151182
   -7.84784785    0.00152004
   -7.79779780    0.00152832
   -7.74774775    0.00153668
   -7.69769770    0.00154511
   -7.64764765    0.00155362
   -7.59759760    0.00156220
   -7.54754755    0.00157085
   -7.49749750    0.00157958
   -7.44744745    0.00158839
   -7.39739740    0.00159728
   -7.34734735    0.00160625
   -7.29729730    0.00161530
   -7.24724725    0.00162443
   -7.19719720    0.00163364
   -7.14714715    0.00164293
   -7.09709710    0.00165231
   -7.04704705    0.00166178
   -6.99699700    0.00167133
   -6.94694695    0.00168097
   -6.89689690    0.00169070
   -6.84684685    0.00170051
   -6.79679680    0.00171042
   -6.74674675    0.00172043
   -6.69669670    0.00173052
   -6.64664665    0.00174071
   -6.59659660    0.00175100
   -6.54654655    0.00176138
   -6.49649650    0.00177186
   -6.44644645    0.00178244
   -6.39639640    0.00179313
   -6.34634635    0.00180391
   -6.29629630    0.00181480
   -6.24624625    0.00182580
   -6.19619620    0.00183690
   -6.14614615    0.00184811
   -6.09609610    0.00185943
   -6.04604605    0.00187086
   -5.99599600    0.00188240
   -5.94594595    0.00189406
   -5.89589590    0.00190583
   -5.84584585    0.00191772
   -5.79579580    0.00192973
   -5.74574575    0.00194186
   -5.69569570    0.00195411
   -5.64564565    0.00196649
   -5.59559560    0.00197899
   -5.54554555    0.00199162
   -5.49549550    0.00200438
   -5.44544545    0.00201727
   -5.39539540    0.00203030
   -5.34534535    0.00204345
   -5.29529530    0.00205675
   -5.24524525    0.00207018
   -5.19519520    0.00208376
   -5.14514515    0.00209748
   -5.09509510    0.00211134
   -5.04504505    0.00212535
   -4.99499499    0.00213951
   -4.94494494    0.00215383
   -4.89489489    0.00216829
   -4.84484484    0.00218291
   -4.79479479    0.00219770
   -4.74474474    0.00221264
   -4.69469469    0.00222774
   -4.64464464    0.00224301
   -4.59459459    0.00225846
   -4.54454454    0.00227407
   -4.49449449    0.00228985
   -4.44444444    0.00230581
   -4.39439439    0.00232196
   -4.34434434    0.00233828
   -4.29429429    0.00235479
   -4.24424424    0.00237148
   -4.19419419    0.00238837
   -4.14414414    0.00240545
   -4.09409409    0.00242273
   -4.04404404    0.00244021
   -3.99399399    0.00245789
   -3.94394394    0.00247578
   -3.89389389    0.00249388
   -3.84384384    0.00251219
   -3.79379379    0.00253072
   -3.74374374    0.00254947
   -3.69369369    0.00256845
   -3.64364364    0.00258765
   -3.59359359    0.00260709
   -3.54354354    0.00262676
   -3.49349349    0.00264667
   -3.44344344    0.00266683
   -3.39339339    0.00268724
   -3.34334334    0.00270789
   -3.29329329    0.00272881
   -3.24324324    0.00274999
   -3.19319319    0.00277143
   -3.14314314    0.00279314
   -3.09309309    0.00281514
   -3.04304304    0.00283741
   -2.99299299    0.00285996
   -2.94294294    0.00288281
   -2.89289289    0.00290596
   -2.84284284    0.00292940
   -2.79279279    0.00295316
   -2.74274274    0.00297723
   -2.69269269    0.00300161
   -2.64264264    0.00302632
   -2.59259259    0.00305137
   -2.54254254    0.00307675
   -2.49249249    0.00310247
   -2.44244244    0.00312854
   -2.39239239    0.00315498
   -2.34234234    0.00318177
   -2.29229229    0.00320894
   -2.24224224    0.00323648
   -2.19219219    0.00326442
   -2.14214214    0.00329274
   -2.09209209    0.00332147
   -2.04204204    0.00335061
   -1.99199199    0.00338016
   -1.94194194    0.00341015
   -1.89189189    0.00344056
   -1.84184184    0.00347143
   -1.79179179    0.00350275
   -1.74174174    0.00353453
   -1.69169169    0.00356678
   -1.64164164    0.00359952
   -1.59159159    0.00363276
   -1.54154154    0.00366649
   -1.49149149    0.00370075
   -1.44144144    0.00373553
   -1.39139139    0.00377085
   -1.34134134    0.00380673
   -1.29129129    0.00384317
   -1.24124124    0.00388018
   -1.19119119    0.00391779
   -1.14114114    0.00395599
   -1.09109109    0.00399482
   -1.04104104    0.00403428
   -0.99099099    0.00407439
   -0.94094094    0.00411516
   -0.89089089    0.00415661
   -0.84084084    0.00419876
   -0.79079079    0.00424163
   -0.74074074    0.00428522
   -0.69069069    0.00432957
   -0.64064064    0.00437469
   -0.59059059    0.00442059
   -0.54054054    0.00446731
   -0.49049049    0.00451486
   -0.44044044    0.00456327
   -0.39039039    0.00461256
   -0.34034034    0.00466275
   -0.29029029    0.00471387
   -0.24024024    0.00476595
   -0.19019019    0.00481901
   -0.14014014    0.00487308
   -0.09009009    0.00492810
   -0.04004004    0.00498393
    0.01001001    0.00504112
    0.06006006    0.00509975
    0.11011011    0.00515974
    0.16016016    0.00522057
    0.21021021    0.00528266
    0.26026026    0.00534604
    0.31031031    0.00541075
    0.36036036    0.00547685
    0.41041041    0.00554438
    0.46046046    0.00561339
    0.51051051    0.00568393
    0.56056056    0.00575606
    0.61061061    0.00582984
    0.66066066    0.00590533
    0.71071071    0.00598260
    0.76076076    0.00606172
    0.81081081    0.00614276
    0.86086086    0.00622580
    0.91091091    0.00631093
    0.96096096    0.00639824
    1.01101101    0.00648783
    1.06106106    0.00657979
    1.11111111    0.00667424
    1.16116116    0.00677130
    1.21121121    0.00687108
    1.26126126    0.00697373
    1.31131131    0.00707938
    1.36136136    0.00718818
    1.41141141    0.00730030
    1.46146146    0.00741590
    1.51151151    0.00753516
    1.56156156    0.00765828
    1.61161161    0.00778544
    1.66166166    0.00791685
    1.71171171    0.00805272
    1.76176176    0.00819324
    1.81181181    0.00833863
    1.86186186    0.00848907
    1.91191191    0.00864473
    1.96196196    0.00880576
    2.01201201    0.00897224
    2.06206206    0.00914422
    2.11211211    0.00932166
    2.16216216    0.00950443
    2.21221221    0.00969227
    2.26226226    0.00988482
    2.31231231    0.01008159
    2.36236236    0.01028196
    2.41241241    0.01048521
    2.46246246    0.01069057
    2.51251251    0.01089726
    2.56256256    0.01110459
    2.61261261    0.01131203
    2.66266266    0.01151931
    2.71271271    0.01172643
    2.76276276    0.01193377
    2.81281281    0.01214205
    2.86286286    0.01235228
    2.91291291    0.01256572
    2.96296296    0.01278381
    3.01301301    0.01300802
    3.06306306    0.01323981
    3.11311311    0.01348051
    3.16316316    0.01373132
    3.21321321    0.01399318
    3.26326326    0.01426679
    3.31331331    0.01455257
    3.36336336    0.01485065
    3.41341341    0.01516084
    3.46346346    0.01548269
    3.51351351    0.01581542
    3.56356356    0.01615805
    3.61361361    0.01650941
    3.66366366    0.01686819
    3.71371371    0.01723310
    3.76376376    0.01760289
    3.81381381    0.01797645
    3.86386386    0.01835290
    3.91391391    0.01873156
    3.96396396    0.01911197
    4.01401401    0.01949391
    4.06406406    0.01987738
    4.11411411    0.02026260
    4.16416416    0.02065011
    4.21421421    0.02104074
    4.26426426    0.02143577
    4.31431431    0.02183691
    4.36436436    0.02224636
    4.41441441    0.02266672
    4.46446446    0.02310096
