# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00188622
   -9.94994995    0.00189362
   -9.89989990    0.00190106
   -9.84984985    0.00190855
   -9.79979980    0.00191609
   -9.74974975    0.00192369
   -9.69969970    0.00193133
   -9.64964965    0.00193902
   -9.59959960    0.00194677
   -9.54954955    0.00195457
   -9.49949950    0.00196243
   -9.44944945    0.00197034
   -9.39939940    0.00197830
   -9.34934935    0.00198632
   -9.29929930    0.00199439
   -9.24924925    0.00200252
   -9.19919920    0.00201070
   -9.14914915    0.00201894
   -9.09909910    0.00202724
   -9.04904905    0.00203560
   -8.99899900    0.00204402
   -8.94894895    0.00205249
   -8.89889890    0.00206103
   -8.84884885    0.00206963
   -8.79879880    0.00207828
   -8.74874875    0.00208700
   -8.69869870    0.00209579
   -8.64864865    0.00210463
   -8.59859860    0.00211354
   -8.54854855    0.00212252
   -8.49849850    0.00213156
   -8.44844845    0.00214066
   -8.39839840    0.00214983
   -8.34834835    0.00215907
   -8.29829830    0.00216838
   -8.24824825    0.00217775
   -8.19819820    0.00218720
   -8.14814815    0.00219671
   -8.09809810    0.00220630
   -8.04804805    0.00221596
   -7.99799800    0.00222569
   -7.94794795    0.00223549
   -7.89789790    0.00224537
   -7.84784785    0.00225532
   -7.79779780    0.00226535
   -7.74774775    0.00227545
   -7.69769770    0.00228563
   -7.64764765    0.00229589
   -7.59759760    0.00230623
   -7.54754755    0.00231665
   -7.49749750    0.00232715
   -7.44744745    0.00233773
   -7.39739740    0.00234840
   -7.34734735    0.00235914
   -7.29729730    0.00236998
   -7.24724725    0.00238089
   -7.19719720    0.00239190
   -7.14714715    0.00240299
   -7.09709710    0.00241417
   -7.04704705    0.00242544
   -6.99699700    0.00243680
   -6.94694695    0.00244825
   -6.89689690    0.00245980
   -6.84684685    0.00247143
   -6.79679680    0.00248317
   -6.74674675    0.00249500
   -6.69669670    0.00250692
   -6.64664665    0.00251895
   -6.59659660    0.00253107
   -6.54654655    0.00254329
   -6.49649650    0.00255562
   -6.44644645    0.00256805
   -6.39639640    0.00258058
   -6.34634635    0.00259322
   -6.29629630    0.00260597
   -6.24624625    0.00261882
   -6.19619620    0.00263179
   -6.14614615    0.00264486
   -6.09609610    0.00265805
   -6.04604605    0.00267135
   -5.99599600    0.00268477
   -5.94594595    0.00269830
   -5.89589590    0.00271195
   -5.84584585    0.00272572
   -5.79579580    0.00273961
   -5.74574575    0.00275363
   -5.69569570    0.00276776
   -5.64564565    0.00278203
   -5.59559560    0.00279642
   -5.54554555    0.00281094
   -5.49549550    0.00282559
   -5.44544545    0.00284038
   -5.39539540    0.00285530
   -5.34534535    0.00287035
   -5.29529530    0.00288554
   -5.24524525    0.00290087
   -5.19519520    0.00291635
   -5.14514515    0.00293197
   -5.09509510    0.00294773
   -5.04504505    0.00296364
   -4.99499499    0.00297970
   -4.94494494    0.00299591
   -4.89489489    0.00301228
   -4.84484484    0.00302880
   -4.79479479    0.00304548
   -4.74474474    0.00306232
   -4.69469469    0.00307932
   -4.64464464    0.00309649
   -4.59459459    0.00311383
   -4.54454454    0.00313133
   -4.49449449    0.00314901
   -4.44444444    0.00316686
   -4.39439439    0.00318489
   -4.34434434    0.00320310
   -4.29429429    0.00322149
   -4.24424424    0.00324007
   -4.19419419    0.00325883
   -4.14414414    0.00327779
   -4.09409409    0.00329694
   -4.04404404    0.00331629
   -3.99399399    0.00333583
   -3.94394394    0.00335559
   -3.89389389    0.00337554
   -3.84384384    0.00339571
   -3.79379379    0.00341609
   -3.74374374    0.00343668
   -3.69369369    0.00345750
   -3.64364364    0.00347853
   -3.59359359    0.00349980
   -3.54354354    0.00352130
   -3.49349349    0.00354303
   -3.44344344    0.00356499
   -3.39339339    0.00358721
   -3.34334334    0.00360966
   -3.29329329    0.00363237
   -3.24324324    0.00365534
   -3.19319319    0.00367856
   -3.14314314    0.00370205
   -3.09309309    0.00372580
   -3.04304304    0.00374983
   -2.99299299    0.00377414
   -2.94294294    0.00379873
   -2.89289289    0.00382362
   -2.84284284    0.00384879
   -2.79279279    0.00387427
   -2.74274274    0.00390005
   -2.69269269    0.00392614
   -2.64264264    0.00395256
   -2.59259259    0.00397929
   -2.54254254    0.00400636
   -2.49249249    0.00403376
   -2.44244244    0.00406151
   -2.39239239    0.00408961
   -2.34234234    0.00411806
   -2.29229229    0.00414689
   -2.24224224    0.00417608
   -2.19219219    0.00420566
   -2.14214214    0.00423563
   -2.09209209    0.00426601
   -2.04204204    0.00429679
   -1.99199199    0.00432798
   -1.94194194    0.00435961
   -1.89189189    0.00439168
   -1.84184184    0.00442419
   -1.79179179    0.00445717
   -1.74174174    0.00449062
   -1.69169169    0.00452456
   -1.64164164    0.00455899
   -1.59159159    0.00459394
   -1.54154154    0.00462941
   -1.49149149    0.00466542
   -1.44144144    0.00470199
   -1.39139139    0.00473913
   -1.34134134    0.00477687
   -1.29129129    0.00481521
   -1.24124124    0.00485418
   -1.19119119    0.00489380
   -1.14114114    0.00493410
   -1.09109109    0.00497508
   -1.04104104    0.00501679
   -0.99099099    0.00505924
   -0.94094094    0.00510247
   -0.89089089    0.00514650
   -0.84084084    0.00519136
   -0.79079079    0.00523710
   -0.74074074    0.00528374
   -0.69069069    0.00533132
   -0.64064064    0.00537990
   -0.59059059    0.00542950
   -0.54054054    0.00548018
   -0.49049049    0.00553200
   -0.44044044    0.00558500
   -0.39039039    0.00563924
   -0.34034034    0.00569479
   -0.29029029    0.00575171
   -0.24024024    0.00581006
   -0.19019019    0.00586993
   -0.14014014    0.00593139
   -0.09009009    0.00599434
   -0.04004004    0.00605861
    0.01001001    0.00612510
    0.06006006    0.00619392
    0.11011011    0.00626498
    0.16016016    0.00633741
    0.21021021    0.00641185
    0.26026026    0.00648829
    0.31031031    0.00656673
    0.36036036    0.00664711
    0.41041041    0.00672932
    0.46046046    0.00681324
    0.51051051    0.00689870
    0.56056056    0.00698549
    0.61061061    0.00707338
    0.66066066    0.00716215
    0.71071071    0.00725160
    0.76076076    0.00734157
    0.81081081    0.00743198
    0.86086086    0.00752284
    0.91091091    0.00761426
    0.96096096    0.00770648
    1.01101101    0.00779978
    1.06106106    0.00789454
    1.11111111    0.00799114
    1.16116116    0.00808992
    1.21121121    0.00819120
    1.26126126    0.00829517
    1.31131131    0.00840189
    1.36136136    0.00851127
    1.41141141    0.00862303
    1.46146146    0.00873670
    1.51151151    0.00885164
    1.56156156    0.00896705
    1.61161161    0.00908199
    1.66166166    0.00919544
    1.71171171    0.00930637
    1.76176176    0.00941380
    1.81181181    0.00951689
    1.86186186    0.00961495
    1.91191191    0.00970757
    1.96196196    0.00979458
