# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00149892
   -9.94994995    0.00150545
   -9.89989990    0.00151204
   -9.84984985    0.00151867
   -9.79979980    0.00152534
   -9.74974975    0.00153207
   -9.69969970    0.00153884
   -9.64964965    0.00154567
   -9.59959960    0.00155254
   -9.54954955    0.00155947
   -9.49949950    0.00156644
   -9.44944945    0.00157347
   -9.39939940    0.00158054
   -9.34934935    0.00158767
   -9.29929930    0.00159486
   -9.24924925    0.00160209
   -9.19919920    0.00160938
   -9.14914915    0.00161673
   -9.09909910    0.00162413
   -9.04904905    0.00163158
   -8.99899900    0.00163909
   -8.94894895    0.00164666
   -8.89889890    0.00165429
   -8.84884885    0.00166197
   -8.79879880    0.00166972
   -8.74874875    0.00167752
   -8.69869870    0.00168538
   -8.64864865    0.00169330
   -8.59859860    0.00170129
   -8.54854855    0.00170933
   -8.49849850    0.00171744
   -8.44844845    0.00172561
   -8.39839840    0.00173385
   -8.34834835    0.00174215
   -8.29829830    0.00175052
   -8.24824825    0.00175895
   -8.19819820    0.00176745
   -8.14814815    0.00177602
   -8.09809810    0.00178465
   -8.04804805    0.00179336
   -7.99799800    0.00180213
   -7.94794795    0.00181098
   -7.89789790    0.00181990
   -7.84784785    0.00182889
   -7.79779780    0.00183795
   -7.74774775    0.00184709
   -7.69769770    0.00185630
   -7.64764765    0.00186559
   -7.59759760    0.00187495
   -7.54754755    0.00188440
   -7.49749750    0.00189392
   -7.44744745    0.00190352
   -7.39739740    0.00191320
   -7.34734735    0.00192296
   -7.29729730    0.00193281
   -7.24724725    0.00194273
   -7.19719720    0.00195275
   -7.14714715    0.00196284
   -7.09709710    0.00197303
   -7.04704705    0.00198330
   -6.99699700    0.00199366
   -6.94694695    0.00200411
   -6.89689690    0.00201465
   -6.84684685    0.00202528
   -6.79679680    0.00203600
   -6.74674675    0.00204682
   -6.69669670    0.00205774
   -6.64664665    0.00206875
   -6.59659660    0.00207985
   -6.54654655    0.00209106
   -6.49649650    0.00210237
   -6.44644645    0.00211378
   -6.39639640    0.00212529
   -6.34634635    0.00213690
   -6.29629630    0.00214862
   -6.24624625    0.00216045
   -6.19619620    0.00217238
   -6.14614615    0.00218442
   -6.09609610    0.00219658
   -6.04604605    0.00220884
   -5.99599600    0.00222122
   -5.94594595    0.00223372
   -5.89589590    0.00224633
   -5.84584585    0.00225906
   -5.79579580    0.00227191
   -5.74574575    0.00228488
   -5.69569570    0.00229798
   -5.64564565    0.00231120
   -5.59559560    0.00232454
   -5.54554555    0.00233801
   -5.49549550    0.00235162
   -5.44544545    0.00236535
   -5.39539540    0.00237922
   -5.34534535    0.00239323
   -5.29529530    0.00240737
   -5.24524525    0.00242165
   -5.19519520    0.00243607
   -5.14514515    0.00245063
   -5.09509510    0.00246534
   -5.04504505    0.00248020
   -4.99499499    0.00249521
   -4.94494494    0.00251036
   -4.89489489    0.00252567
   -4.84484484    0.00254114
   -4.79479479    0.00255677
   -4.74474474    0.00257255
   -4.69469469    0.00258850
   -4.64464464    0.00260461
   -4.59459459    0.00262089
   -4.54454454    0.00263734
   -4.49449449    0.00265396
   -4.44444444    0.00267076
   -4.39439439    0.00268774
   -4.34434434    0.00270490
   -4.29429429    0.00272223
   -4.24424424    0.00273976
   -4.19419419    0.00275748
   -4.14414414    0.00277538
