# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00157335
   -9.94994995    0.00158042
   -9.89989990    0.00158755
   -9.84984985    0.00159472
   -9.79979980    0.00160195
   -9.74974975    0.00160924
   -9.69969970    0.00161657
   -9.64964965    0.00162397
   -9.59959960    0.00163142
   -9.54954955    0.00163892
   -9.49949950    0.00164648
   -9.44944945    0.00165410
   -9.39939940    0.00166177
   -9.34934935    0.00166951
   -9.29929930    0.00167730
   -9.24924925    0.00168516
   -9.19919920    0.00169307
   -9.14914915    0.00170105
   -9.09909910    0.00170908
   -9.04904905    0.00171718
   -8.99899900    0.00172534
   -8.94894895    0.00173357
   -8.89889890    0.00174186
   -8.84884885    0.00175022
   -8.79879880    0.00175864
   -8.74874875    0.00176713
   -8.69869870    0.00177568
   -8.64864865    0.00178431
   -8.59859860    0.00179300
   -8.54854855    0.00180176
   -8.49849850    0.00181059
   -8.44844845    0.00181950
   -8.39839840    0.00182847
   -8.34834835    0.00183752
   -8.29829830    0.00184665
   -8.24824825    0.00185584
   -8.19819820    0.00186512
   -8.14814815    0.00187447
   -8.09809810    0.00188389
   -8.04804805    0.00189340
   -7.99799800    0.00190298
   -7.94794795    0.00191265
   -7.89789790    0.00192239
   -7.84784785    0.00193222
   -7.79779780    0.00194213
   -7.74774775    0.00195212
   -7.69769770    0.00196220
   -7.64764765    0.00197236
   -7.59759760    0.00198261
   -7.54754755    0.00199295
   -7.49749750    0.00200338
   -7.44744745    0.00201390
   -7.39739740    0.00202450
   -7.34734735    0.00203521
   -7.29729730    0.00204600
   -7.24724725    0.00205689
   -7.19719720    0.00206787
   -7.14714715    0.00207895
   -7.09709710    0.00209013
   -7.04704705    0.00210141
   -6.99699700    0.00211279
   -6.94694695    0.00212427
   -6.89689690    0.00213585
   -6.84684685    0.00214754
   -6.79679680    0.00215934
   -6.74674675    0.00217124
   -6.69669670    0.00218325
   -6.64664665    0.00219537
   -6.59659660    0.00220760
   -6.54654655    0.00221994
   -6.49649650    0.00223240
   -6.44644645    0.00224497
   -6.39639640    0.00225766
   -6.34634635    0.00227047
   -6.29629630    0.00228340
   -6.24624625    0.00229645
   -6.19619620    0.00230962
   -6.14614615    0.00232292
   -6.09609610    0.00233635
   -6.04604605    0.00234990
   -5.99599600    0.00236359
   -5.94594595    0.00237741
   -5.89589590    0.00239136
   -5.84584585    0.00240544
   -5.79579580    0.00241967
   -5.74574575    0.00243403
   -5.69569570    0.00244854
   -5.64564565    0.00246318
   -5.59559560    0.00247798
   -5.54554555    0.00249292
   -5.49549550    0.00250801
   -5.44544545    0.00252325
   -5.39539540    0.00253864
   -5.34534535    0.00255419
   -5.29529530    0.00256990
   -5.24524525    0.00258577
   -5.19519520    0.00260180
   -5.14514515    0.00261800
   -5.09509510    0.00263436
   -5.04504505    0.00265090
   -4.99499499    0.00266760
   -4.94494494    0.00268448
   -4.89489489    0.00270154
   -4.84484484    0.00271878
   -4.79479479    0.00273620
   -4.74474474    0.00275381
   -4.69469469    0.00277160
   -4.64464464    0.00278959
   -4.59459459    0.00280777
   -4.54454454    0.00282615
   -4.49449449    0.00284472
   -4.44444444    0.00286351
   -4.39439439    0.00288249
   -4.34434434    0.00290169
   -4.29429429    0.00292110
